,Open,High,Low,Close,Volume
2017-10-25 16:00:00,88.8,89.27,88.32,88.9,1029596
2017-10-26 16:00:00,89.42,89.42,88.3,88.59,1456249
2017-10-27 16:00:00,88.75,89.42,88.59,89.42,966149
2017-10-30 16:00:00,89.47,89.71,89.02,89.5,1259149
2017-10-31 16:00:00,89.5,91.17,89.42,90.97,1770256
2017-11-01 16:00:00,92.86,93.11,90.23,91.87,2479585
2017-11-02 16:00:00,92.26,92.8999,91.44,91.57,1065209
2017-11-03 16:00:00,91.79,92.79,90.601,92.73,1222933
2017-11-06 16:00:00,92.16,93.68,92.12,92.97,1436211
2017-11-07 16:00:00,93.09,93.29,92.62,93.23,1178106
2017-11-08 16:00:00,93.11,93.75,92.89,93.7,1117453
2017-11-09 16:00:00,93.1,93.75,92.39,92.92,1354857
2017-11-10 16:00:00,93.47,93.6,92.87,93.53,1022471
2017-11-13 16:00:00,93.09,93.725,92.84,93.36,1534442
2017-11-14 16:00:00,92.77,93.83,92.69,93.82,1407169
2017-11-15 16:00:00,93.23,93.28,92.44,92.77,1284470
2017-11-16 16:00:00,93.41,95.365,93.3,95.15,1891245
2017-11-17 16:00:00,95.03,95.37,94.615,95.04,2994727
2017-11-20 16:00:00,95.31,96.15,95.05,95.89,1500617
2017-11-21 16:00:00,96.38,96.68,95.37,95.95,1708852
2017-11-22 16:00:00,95.63,95.82,94.3,94.51,1698225
2017-11-24 13:00:00,94.91,95.48,94.59,95.26,685596
