,Open,High,Low,Close,Volume
2017-10-25 16:00:00,62.74,62.97,61.37,61.92,6352468
2017-10-26 16:00:00,62.1,62.67,61.64,62.01,4287340
2017-10-27 16:00:00,61.45,61.56,59.86,60.26,6964433
2017-10-30 16:00:00,60.18,60.2,59.305,59.55,6162174
2017-10-31 16:00:00,59.49,59.76,58.91,59.04,6458136
2017-11-01 16:00:00,58.8,59.42,58.615,58.86,4710541
2017-11-02 16:00:00,59.14,59.95,58.6,59.79,4790541
2017-11-03 16:00:00,59.67,60.12,59.29,59.36,3992458
2017-11-06 16:00:00,59.3,59.4,58.71,59.29,4538741
2017-11-07 16:00:00,59.07,59.11,57.66,57.89,6587569
2017-11-08 16:00:00,57.86,58.95,57.38,58.37,4921568
2017-11-09 16:00:00,57.66,60.15,57.19,59.9,8496164
2017-11-10 16:00:00,59.91,61.41,59.91,61.4,6854543
2017-11-13 16:00:00,61.4,61.95,60.15,60.4,6608755
2017-11-14 16:00:00,59.59,60.305,59.15,60.09,8018716
2017-11-15 16:00:00,56.26,57.91,54.04,54.16,34811172
2017-11-16 16:00:00,54.51,55.32,54.13,55.1,12744706
2017-11-17 16:00:00,55.76,58.74,55.72,58.14,16719410
2017-11-20 16:00:00,57.97,58.21,57.1051,57.88,7972995
2017-11-21 16:00:00,57.85,58.07,56.79,57.25,6318423
2017-11-22 16:00:00,57.42,57.76,57.07,57.49,2867640
2017-11-24 13:00:00,58.05,58.13,55.83,55.88,5892390
