,Open,High,Low,Close,Volume
2017-10-25 16:00:00,94.0,94.14,92.7,93.48,760566
2017-10-26 16:00:00,93.63,94.62,93.52,94.1,783018
2017-10-27 16:00:00,93.83,94.11,93.0,94.05,1013368
2017-10-30 16:00:00,93.84,94.0,92.97,93.55,824723
2017-10-31 16:00:00,93.41,93.96,92.92,93.62,679294
2017-11-01 16:00:00,94.3,95.31,93.84,93.98,1207368
2017-11-02 16:00:00,94.03,94.18,92.57,93.01,892372
2017-11-03 16:00:00,93.0,93.23,92.42,92.56,1867966
2017-11-06 16:00:00,92.62,93.55,92.5,92.99,740686
2017-11-07 16:00:00,92.93,93.165,91.81,92.35,933370
2017-11-08 16:00:00,91.99,91.99,90.71,90.87,997842
2017-11-09 16:00:00,90.59,91.29,90.47,91.0,1549096
2017-11-10 16:00:00,91.0,92.1299,90.46,91.57,1813582
2017-11-13 16:00:00,91.54,93.47,91.47,93.08,1130316
2017-11-14 16:00:00,92.14,93.83,92.0373,93.55,767972
2017-11-15 16:00:00,93.38,93.39,92.39,92.51,1106305
2017-11-16 16:00:00,93.0,93.55,92.32,92.94,1331361
2017-11-17 16:00:00,93.3,95.35,93.07,94.83,1544200
2017-11-20 16:00:00,94.8,95.44,94.0,94.33,1143939
2017-11-21 16:00:00,93.0,94.06,91.9301,93.54,1648587
2017-11-22 16:00:00,93.55,94.47,93.4978,94.09,938436
2017-11-24 13:00:00,94.3,94.74,92.95,93.04,711346
