,Open,High,Low,Close,Volume
2017-10-25 16:00:00,71.74,71.95,71.07,71.44,3149868
2017-10-26 16:00:00,71.46,71.94,70.95,71.47,3279342
2017-10-27 16:00:00,71.33,71.34,70.23,70.54,4497849
2017-10-30 16:00:00,70.2,70.22,68.9,69.35,4515688
2017-10-31 16:00:00,70.6,71.16,69.51,69.8,3781765
2017-11-01 16:00:00,70.28,70.4,69.38,69.72,2917793
2017-11-02 16:00:00,70.0,70.55,69.62,70.21,2941696
2017-11-03 16:00:00,69.98,69.98,68.52,68.6,4300340
2017-11-06 16:00:00,68.64,69.19,68.15,68.23,4804231
2017-11-07 16:00:00,68.29,68.73,67.99,68.3,4983010
2017-11-08 16:00:00,67.8,68.47,67.47,67.98,4770869
2017-11-09 16:00:00,67.95,69.89,67.74,69.25,5173105
2017-11-10 16:00:00,69.38,70.24,69.14,70.22,6081719
2017-11-13 16:00:00,70.24,72.059,70.09,70.76,9006584
2017-11-14 16:00:00,67.6,69.59,66.44,67.94,17087137
2017-11-15 16:00:00,67.51,69.56,67.0,69.04,10176386
2017-11-16 16:00:00,69.11,69.52,68.75,69.06,4851768
2017-11-17 16:00:00,69.35,71.36,69.35,71.02,7859749
2017-11-20 16:00:00,71.09,71.53,70.58,71.19,6129715
2017-11-21 16:00:00,70.98,71.28,70.1001,71.23,4421691
2017-11-22 16:00:00,71.13,71.35,70.435,70.57,3767873
2017-11-24 13:00:00,71.16,71.45,70.75,70.87,1603376
