,Open,High,Low,Close,Volume
2017-09-14 16:00:00,101.27,101.5,100.84,101.01,2350315
2017-09-15 16:00:00,101.31,102.0,100.9,101.87,5681684
2017-09-18 16:00:00,101.93,102.21,101.74,101.97,3947597
2017-09-19 16:00:00,102.12,102.94,101.98,102.78,3762764
2017-09-20 16:00:00,102.71,103.14,102.67,102.89,5266838
2017-09-21 16:00:00,102.86,102.99,102.41,102.49,2511004
2017-09-22 16:00:00,102.56,102.79,102.04,102.4,3976076
2017-09-25 16:00:00,102.76,103.42,102.58,103.22,5632976
2017-09-26 16:00:00,103.12,103.38,102.9,102.93,3019753
2017-09-27 16:00:00,102.93,103.0,102.35,102.4,4726096
2017-09-28 16:00:00,102.09,103.1,102.0808,102.24,4061065
2017-09-29 16:00:00,102.22,102.5,101.79,102.45,5252231
2017-10-02 16:00:00,102.63,103.33,102.465,103.08,4318150
2017-10-03 16:00:00,103.08,103.45,103.0,103.28,2934354
2017-10-04 16:00:00,103.35,103.72,103.2,103.5,4005903
2017-10-05 16:00:00,103.52,103.9,103.36,103.64,11166985
2017-10-06 16:00:00,103.3,103.4,102.855,103.3,2440374
2017-10-09 16:00:00,103.3,103.53,103.07,103.35,3221089
2017-10-10 16:00:00,103.35,103.65,103.19,103.35,3269501
2017-10-11 16:00:00,103.51,103.69,103.5,103.66,475319
2017-10-12 16:00:00,103.01,103.055,101.34,101.45,7681943
2017-10-13 16:00:00,101.45,101.69,100.59,100.94,6885599
2017-10-16 16:00:00,100.99,101.71,100.795,101.12,3602887
2017-10-17 16:00:00,101.2,101.55,101.05,101.46,3855399
2017-10-18 16:00:00,101.41,101.84,100.93,101.48,4872365
2017-10-19 16:00:00,101.94,102.7,101.81,102.2,5317569
2017-10-20 16:00:00,102.53,102.53,101.565,101.83,5503223
2017-10-23 16:00:00,101.72,102.11,101.28,101.33,4675753
2017-10-24 16:00:00,101.25,101.375,100.49,100.5,5730275
2017-10-25 16:00:00,100.17,100.17,98.68,98.72,9471499
2017-10-26 16:00:00,99.54,99.65,98.97,98.97,7340434
2017-10-27 16:00:00,99.0,99.42,98.71,98.79,9898603
2017-10-30 16:00:00,98.65,98.99,97.57,98.49,5008854
2017-10-31 16:00:00,98.44,98.705,98.01,98.29,7090047
2017-11-01 16:00:00,98.62,99.1384,97.78,98.39,7608361
2017-11-02 16:00:00,98.28,99.85,92.02,94.7,32787285
2017-11-03 16:00:00,94.91,95.36,92.87,93.28,14766031
2017-11-06 16:00:00,92.94,94.56,92.8,94.46,6712828
2017-11-07 16:00:00,94.39,95.12,94.2,94.66,5281680
2017-11-08 16:00:00,91.8,92.43,88.12,88.5,56167999
2017-11-09 16:00:00,87.75,89.4,86.38,87.05,31491622
2017-11-10 16:00:00,88.39,91.49,88.17,90.6,26863656
2017-11-13 16:00:00,88.6,89.5,88.42,88.49,12820500
2017-11-14 16:00:00,88.64,88.64,87.24,87.51,12007151
2017-11-15 16:00:00,85.94,87.57,85.88,87.37,13526128
2017-11-16 16:00:00,87.7,88.7,86.75,88.01,13555798
2017-11-17 16:00:00,88.2,89.105,87.81,88.72,8439691
2017-11-20 16:00:00,88.75,88.85,87.03,87.71,12781993
2017-11-21 16:00:00,88.2,89.93,88.2,89.56,14425149
2017-11-22 16:00:00,89.62,90.26,89.57,90.01,5497987
2017-11-24 13:00:00,90.02,90.2,89.5,89.5,1768431
2017-11-27 16:00:00,89.58,89.61,89.02,89.07,3452969
2017-11-28 16:00:00,89.39,89.95,89.0,89.62,4815483
2017-11-29 16:00:00,90.12,91.0,89.8,90.92,8280867
2017-11-30 16:00:00,91.26,91.77,90.85,91.51,8553363
2017-12-01 16:00:00,91.34,91.9,90.72,91.3,4291282
2017-12-04 16:00:00,91.87,93.075,91.84,92.71,6077899
2017-12-05 16:00:00,92.65,92.77,90.75,91.08,4543485
2017-12-06 16:00:00,91.12,91.17,90.2,90.38,4704163
2017-12-07 16:00:00,90.56,91.18,89.84,90.37,7195648
2017-12-08 16:00:00,90.71,90.765,89.9,90.71,3077694
2017-12-11 16:00:00,90.77,91.14,90.38,90.82,2954814
2017-12-12 16:00:00,90.65,91.28,90.19,90.65,6198013
2017-12-13 16:00:00,90.5,90.86,89.9,90.06,8529089
