,Open,High,Low,Close,Volume
2017-10-25 16:00:00,95.0,96.7,94.16,95.82,6967092
2017-10-26 16:00:00,96.44,96.9399,95.84,96.15,5556903
2017-10-27 16:00:00,95.94,97.56,95.71,97.5,5725272
2017-10-30 16:00:00,96.68,97.13,95.92,96.06,4923155
2017-10-31 16:00:00,96.28,97.04,96.18,96.69,3770605
2017-11-01 16:00:00,96.97,97.25,95.77,96.35,3873752
2017-11-02 16:00:00,96.25,96.88,95.6,96.79,3292215
2017-11-03 16:00:00,97.0,98.0,96.34,97.98,3347281
2017-11-06 16:00:00,97.82,98.67,97.67,98.54,4391663
2017-11-07 16:00:00,98.55,99.05,98.28,98.4,4315375
2017-11-08 16:00:00,98.31,98.76,97.89,98.44,3265643
2017-11-09 16:00:00,97.6,98.03,95.63,97.05,4239787
2017-11-10 16:00:00,96.67,97.05,96.4,96.94,3416675
2017-11-13 16:00:00,96.4,97.29,96.35,97.03,2283972
2017-11-14 16:00:00,96.7,97.23,96.35,96.96,3252637
2017-11-15 16:00:00,96.62,98.03,96.28,96.77,3355591
2017-11-16 16:00:00,97.07,98.63,97.05,98.32,3564394
2017-11-17 16:00:00,98.56,98.56,97.61,97.74,3788212
2017-11-20 16:00:00,97.81,98.92,97.8,98.28,2953705
2017-11-21 16:00:00,98.75,99.65,98.65,99.19,3998453
2017-11-22 16:00:00,99.15,99.35,98.07,98.08,2141979
2017-11-24 13:00:00,98.2,99.33,98.19,99.3,1288450
