,Open,High,Low,Close,Volume
2017-10-25 16:00:00,54.29,54.57,53.52,53.71,1372419
2017-10-26 16:00:00,53.99,54.32,53.19,53.76,1187875
2017-10-27 16:00:00,53.57,53.9,52.84,53.03,1693984
2017-10-30 16:00:00,52.8,52.94,52.4275,52.6,1348815
2017-10-31 16:00:00,52.66,52.93,52.49,52.74,1398155
2017-11-01 16:00:00,53.01,53.55,52.96,53.4,1508847
2017-11-02 16:00:00,53.29,54.528,52.93,54.28,1311814
2017-11-03 16:00:00,54.17,54.56,53.81,54.55,1217265
2017-11-06 16:00:00,54.55,54.69,54.2,54.43,837179
2017-11-07 16:00:00,54.45,54.8,54.07,54.28,781880
2017-11-08 16:00:00,54.28,54.95,54.08,54.85,1082719
2017-11-09 16:00:00,55.03,55.24,54.02,54.4,922335
2017-11-10 16:00:00,54.21,54.75,54.01,54.27,1104346
2017-11-13 16:00:00,54.03,54.185,53.58,53.7,1875099
2017-11-14 16:00:00,53.53,53.83,53.34,53.57,875945
2017-11-15 16:00:00,53.0,53.23,52.33,52.47,1366782
2017-11-16 16:00:00,52.64,53.2,52.5,52.9,1631290
2017-11-17 16:00:00,52.74,53.53,52.61,52.97,1467992
2017-11-20 16:00:00,53.19,53.57,52.85,53.48,1503712
2017-11-21 16:00:00,53.78,54.01,53.6,53.69,1217245
2017-11-22 16:00:00,53.71,53.85,53.41,53.53,953783
2017-11-24 13:00:00,53.67,53.8,53.28,53.3,523302
