,Open,High,Low,Close,Volume
2017-09-14 16:00:00,18.09,18.1093,17.615,17.95,4151319
2017-09-15 16:00:00,17.91,18.02,17.69,17.79,5166170
2017-09-18 16:00:00,17.76,17.99,17.33,17.37,4070563
2017-09-19 16:00:00,16.99,17.21,16.71,16.81,5306599
2017-09-20 16:00:00,16.82,16.8998,16.34,16.54,3860096
2017-09-21 16:00:00,16.45,16.545,16.3,16.49,2645141
2017-09-22 16:00:00,16.35,16.59,16.31,16.41,2620826
2017-09-25 16:00:00,16.53,17.0,16.5,16.74,4676930
2017-09-26 16:00:00,16.77,16.85,16.4,16.54,4926154
2017-09-27 16:00:00,16.43,16.455,16.13,16.42,5410246
2017-09-28 16:00:00,16.44,16.58,16.33,16.46,2577755
2017-09-29 16:00:00,16.49,16.64,16.38,16.48,3500441
2017-10-02 16:00:00,16.46,16.6,16.26,16.6,3234602
2017-10-03 16:00:00,16.57,16.78,16.44,16.71,3436076
2017-10-04 16:00:00,16.71,16.84,16.42,16.47,4540087
2017-10-05 16:00:00,16.42,16.68,16.14,16.53,3085723
2017-10-06 16:00:00,16.48,17.14,16.421,17.02,4792404
2017-10-09 16:00:00,17.0,17.02,16.46,16.65,4269495
2017-10-10 16:00:00,16.63,17.12,16.63,16.84,2848393
2017-10-11 16:00:00,16.79,16.83,16.38,16.42,519770
2017-10-12 16:00:00,16.22,16.55,16.05,16.55,4408864
2017-10-13 16:00:00,16.49,16.66,16.09,16.19,4235729
2017-10-16 16:00:00,16.18,16.3734,16.1,16.25,2175337
2017-10-17 16:00:00,16.23,16.54,16.13,16.31,2892640
2017-10-18 16:00:00,16.32,16.44,16.1901,16.33,3199604
2017-10-19 16:00:00,16.22,16.52,16.14,16.45,2325184
2017-10-20 16:00:00,16.55,17.61,16.53,17.48,8794405
2017-10-23 16:00:00,17.34,17.475,16.8,16.85,9030574
2017-10-24 16:00:00,16.83,16.83,16.15,16.3,6257678
2017-10-25 16:00:00,16.2,16.39,15.75,16.01,7618438
2017-10-26 16:00:00,16.01,16.49,15.82,16.38,6011808
2017-10-27 16:00:00,16.15,16.425,16.0,16.04,7746256
2017-10-30 16:00:00,15.64,16.68,15.525,16.41,12737547
2017-10-31 16:00:00,14.2,14.44,12.48,12.52,45603168
2017-11-01 16:00:00,12.47,12.9475,11.98,12.05,27890472
2017-11-02 16:00:00,12.1,12.2,11.45,11.78,19193796
2017-11-03 16:00:00,11.76,11.81,11.51,11.61,10361850
2017-11-06 16:00:00,11.56,12.1,11.4,12.02,7284180
2017-11-07 16:00:00,12.18,12.3,11.78,11.88,7688400
2017-11-08 16:00:00,11.84,11.99,11.67,11.97,4825028
2017-11-09 16:00:00,11.98,12.28,11.74,12.01,9477819
2017-11-10 16:00:00,12.0,12.54,11.91,12.52,7865130
2017-11-13 16:00:00,12.5,12.66,12.06,12.17,5852810
2017-11-14 16:00:00,12.14,12.22,11.881,12.15,4691123
2017-11-15 16:00:00,12.07,12.51,11.95,12.41,4656827
2017-11-16 16:00:00,12.43,12.8,12.15,12.76,5012211
2017-11-17 16:00:00,13.03,13.28,12.99,13.08,8047458
2017-11-20 16:00:00,13.08,13.46,13.02,13.44,5638205
2017-11-21 16:00:00,13.45,13.5,12.75,12.85,6629162
2017-11-22 16:00:00,12.89,13.2,12.73,13.09,3745254
2017-11-24 13:00:00,13.14,13.2499,12.915,12.99,1945428
2017-11-27 16:00:00,13.0,13.1225,12.62,12.68,4111426
2017-11-28 16:00:00,12.75,12.96,12.6,12.88,3532743
2017-11-29 16:00:00,12.96,13.65,12.96,13.57,6597181
2017-11-30 16:00:00,13.56,13.88,13.22,13.29,5234956
2017-12-01 16:00:00,13.3,13.31,12.815,13.15,5880022
2017-12-04 16:00:00,13.33,13.49,13.28,13.35,4369975
2017-12-05 16:00:00,13.38,13.45,12.99,13.01,3311401
2017-12-06 16:00:00,13.05,13.08,12.7301,12.89,3375003
2017-12-07 16:00:00,12.91,13.44,12.9,13.28,3626259
2017-12-08 16:00:00,13.31,13.69,13.16,13.63,4822153
2017-12-11 16:00:00,13.52,13.64,13.35,13.5,3726286
2017-12-12 16:00:00,13.59,13.72,13.38,13.59,3238197
2017-12-13 16:00:00,13.61,13.72,13.45,13.62,3057222
