,Open,High,Low,Close,Volume
2017-09-14 16:00:00,111.5,111.84,110.46,111.56,414595
2017-09-15 16:00:00,111.56,111.695,110.155,110.67,661309
2017-09-18 16:00:00,110.89,110.99,108.23,108.92,725959
2017-09-19 16:00:00,108.93,109.04,106.82,107.99,650639
2017-09-20 16:00:00,107.91,110.17,107.63,110.15,533744
2017-09-21 16:00:00,110.25,110.25,108.27,108.43,540085
2017-09-22 16:00:00,108.87,109.985,108.375,109.29,525113
2017-09-25 16:00:00,108.91,109.98,107.59,107.89,579851
2017-09-26 16:00:00,108.36,109.28,107.92,109.01,679166
2017-09-27 16:00:00,109.3,110.085,108.3,109.78,621322
2017-09-28 16:00:00,109.62,109.99,108.7,109.73,547866
2017-09-29 16:00:00,109.53,111.14,109.53,110.94,621941
2017-10-02 16:00:00,111.07,112.75,111.07,112.23,973604
2017-10-03 16:00:00,112.25,112.74,110.925,112.61,424697
2017-10-04 16:00:00,112.9,113.99,111.7,112.1,570257
2017-10-05 16:00:00,111.92,112.86,111.86,112.14,626096
2017-10-06 16:00:00,111.79,112.57,109.94,110.14,667481
2017-10-09 16:00:00,109.99,109.99,106.73,107.13,795411
2017-10-10 16:00:00,107.4,108.49,105.57,106.58,727975
2017-10-11 16:00:00,106.49,107.79,106.49,107.06,44538
2017-10-12 16:00:00,107.45,107.49,105.22,105.92,1057552
2017-10-13 16:00:00,102.9,106.08,101.26,105.55,1203799
2017-10-16 16:00:00,105.26,106.07,104.8,105.6,1003872
2017-10-17 16:00:00,106.13,109.1,105.51,108.46,1400064
2017-10-18 16:00:00,108.76,110.34,108.41,108.52,814615
2017-10-19 16:00:00,108.19,110.91,107.7,110.54,805400
2017-10-20 16:00:00,111.08,113.06,110.42,112.85,1359783
2017-10-23 16:00:00,113.07,113.86,112.67,112.96,464607
2017-10-24 16:00:00,112.76,113.17,111.19,111.5,1038363
2017-10-25 16:00:00,110.5,110.77,106.56,110.75,2069811
2017-10-26 16:00:00,109.39,109.58,103.03,103.86,2763048
2017-10-27 16:00:00,103.86,105.071,102.52,103.49,1249657
2017-10-30 16:00:00,103.13,103.92,101.31,102.28,1116108
2017-10-31 16:00:00,102.16,104.06,101.82,102.7,777961
2017-11-01 16:00:00,102.45,103.11,100.78,102.12,1338530
2017-11-02 16:00:00,101.66,103.45,101.66,102.4,942431
2017-11-03 16:00:00,102.82,102.82,101.42,101.61,656496
2017-11-06 16:00:00,101.92,102.6,101.25,101.75,591287
2017-11-07 16:00:00,101.99,102.9,100.65,101.05,576361
2017-11-08 16:00:00,100.55,101.24,99.56,100.74,715666
2017-11-09 16:00:00,100.59,101.129,99.09,99.79,1149777
2017-11-10 16:00:00,99.31,99.65,96.84,97.71,1507922
2017-11-13 16:00:00,97.37,98.75,95.59,97.76,1763544
2017-11-14 16:00:00,97.38,97.58,96.0,97.0,1121040
2017-11-15 16:00:00,96.51,96.7,95.26,95.77,1029052
2017-11-16 16:00:00,96.5,98.66,96.49,98.38,1043165
2017-11-17 16:00:00,98.24,98.74,97.17,97.22,688757
2017-11-20 16:00:00,97.23,97.245,95.92,96.88,824733
2017-11-21 16:00:00,97.09,98.95,96.23,98.77,866834
2017-11-22 16:00:00,98.51,101.6,98.35,100.58,757618
2017-11-24 13:00:00,100.34,100.59,99.07,100.48,384329
2017-11-27 16:00:00,100.37,101.43,99.84,100.74,747119
2017-11-28 16:00:00,101.09,102.51,100.36,102.33,556429
2017-11-29 16:00:00,102.71,108.37,102.63,107.47,1747273
2017-11-30 16:00:00,107.74,110.96,106.955,108.35,1618247
2017-12-01 16:00:00,108.47,108.99,105.1,108.06,1055359
2017-12-04 16:00:00,108.3,110.4,106.2,106.26,876466
2017-12-05 16:00:00,106.1,106.93,104.04,105.95,1014805
2017-12-06 16:00:00,105.95,107.89,105.2701,107.66,1113268
2017-12-07 16:00:00,107.6,111.53,107.0,110.34,1556196
2017-12-08 16:00:00,110.5,111.65,109.81,111.56,1492658
2017-12-11 16:00:00,112.03,112.59,110.63,110.98,1015623
2017-12-12 16:00:00,112.44,114.125,111.87,112.44,1025252
2017-12-13 16:00:00,112.68,114.98,111.73,113.88,1101559
