,Open,High,Low,Close,Volume
2017-09-14 16:00:00,197.95,198.38,197.09,197.73,2378644
2017-09-15 16:00:00,198.52,199.71,197.2,198.18,4198691
2017-09-18 16:00:00,198.17,198.82,197.51,198.19,1915478
2017-09-19 16:00:00,198.44,198.6,192.39,194.65,3818982
2017-09-20 16:00:00,195.02,195.84,194.06,195.75,2788463
2017-09-21 16:00:00,195.63,196.13,194.9,195.21,1894964
2017-09-22 16:00:00,195.11,195.87,188.25,193.03,5660220
2017-09-25 16:00:00,193.27,196.31,190.92,191.75,3105892
2017-09-26 16:00:00,192.31,194.36,192.04,192.7,2775350
2017-09-27 16:00:00,193.2,195.615,191.74,194.49,3218558
2017-09-28 16:00:00,194.25,196.545,193.51,196.1,2088374
2017-09-29 16:00:00,195.82,196.09,194.48,195.85,2646297
2017-10-02 16:00:00,196.59,197.91,196.33,197.44,2893553
2017-10-03 16:00:00,197.5,199.4425,197.26,198.63,2533804
2017-10-04 16:00:00,199.03,200.73,198.43,200.48,2286385
2017-10-05 16:00:00,199.93,199.93,196.56,197.9,4068977
2017-10-06 16:00:00,197.9,199.99,197.51,198.06,3361896
2017-10-09 16:00:00,198.01,198.32,195.78,196.3,3365386
2017-10-10 16:00:00,196.26,196.43,193.67,194.68,2499815
2017-10-11 16:00:00,194.63,195.57,193.78,193.93,200930
2017-10-12 16:00:00,195.01,195.36,192.73,192.92,2954744
2017-10-13 16:00:00,189.59,192.71,186.0,192.52,5435003
2017-10-16 16:00:00,192.48,193.32,191.36,193.2,2927432
2017-10-17 16:00:00,196.8,206.62,196.37,203.89,8949715
2017-10-18 16:00:00,203.8,207.8,203.68,205.23,4796337
2017-10-19 16:00:00,205.47,205.745,202.7,203.25,3471790
2017-10-20 16:00:00,204.26,208.21,203.69,207.49,5138814
2017-10-23 16:00:00,207.58,208.45,205.8,207.01,2261386
2017-10-24 16:00:00,206.38,208.23,205.88,208.15,3459875
2017-10-25 16:00:00,208.32,209.14,207.071,207.56,2908292
2017-10-26 16:00:00,207.92,211.7,207.58,209.15,4345993
2017-10-27 16:00:00,209.15,212.77,208.545,212.6,4385348
2017-10-30 16:00:00,212.21,212.77,209.38,209.39,2477364
2017-10-31 16:00:00,209.39,210.52,207.8,210.22,3749641
2017-11-01 16:00:00,211.62,212.63,208.92,209.53,1902858
2017-11-02 16:00:00,210.11,211.485,209.01,211.1,2825932
2017-11-03 16:00:00,210.72,213.83,210.1,212.87,2197061
2017-11-06 16:00:00,211.91,213.93,211.8,212.12,2293688
2017-11-07 16:00:00,212.74,213.54,210.89,212.7,1845805
2017-11-08 16:00:00,212.08,212.925,210.7,210.77,2261829
2017-11-09 16:00:00,210.59,211.76,209.13,211.56,1839704
2017-11-10 16:00:00,211.46,211.81,210.2,211.07,1384718
2017-11-13 16:00:00,210.31,213.535,209.94,212.66,2662195
2017-11-14 16:00:00,212.21,212.7,210.92,211.71,1993916
2017-11-15 16:00:00,210.88,211.98,209.62,209.86,1816332
2017-11-16 16:00:00,210.38,212.01,209.9,211.13,1919644
2017-11-17 16:00:00,210.46,211.455,209.15,209.9,1887529
2017-11-20 16:00:00,210.0,210.68,209.58,210.25,2040368
2017-11-21 16:00:00,211.13,212.85,210.75,212.6,2327411
2017-11-22 16:00:00,212.26,212.805,210.76,211.22,2257897
2017-11-24 13:00:00,212.0,212.93,211.0,212.51,743961
2017-11-27 16:00:00,212.25,214.25,211.81,212.4,2856277
2017-11-28 16:00:00,213.88,216.31,212.51,216.14,2905679
2017-11-29 16:00:00,217.7,224.27,217.36,222.88,4247248
2017-11-30 16:00:00,223.83,228.75,222.29,228.17,6846394
2017-12-01 16:00:00,228.89,229.22,221.081,226.78,3326098
2017-12-04 16:00:00,229.26,231.77,221.4,221.42,5591486
2017-12-05 16:00:00,221.0,223.7199,219.16,220.09,3246315
2017-12-06 16:00:00,221.02,221.96,219.03,219.94,2397451
2017-12-07 16:00:00,220.59,220.61,218.19,220.15,2661839
2017-12-08 16:00:00,220.55,224.33,220.22,223.91,2233273
2017-12-11 16:00:00,222.51,224.82,222.04,222.77,1599464
2017-12-12 16:00:00,222.49,223.42,221.26,222.49,2294112
2017-12-13 16:00:00,221.74,224.95,221.23,224.35,3059427
