,Open,High,Low,Close,Volume
2017-10-25 16:00:00,143.25,144.1,138.19,138.91,2508062
2017-10-26 16:00:00,139.75,142.225,139.3,141.24,2020988
2017-10-27 16:00:00,141.34,146.06,141.34,145.94,1365757
2017-10-30 16:00:00,145.32,146.72,143.25,143.59,1256862
2017-10-31 16:00:00,143.6,144.82,141.23,141.48,1329063
2017-11-01 16:00:00,143.339,144.59,142.6,143.67,1147428
2017-11-02 16:00:00,143.37,146.87,143.0,145.58,1026466
2017-11-03 16:00:00,145.09,146.0,144.46,144.71,708200
2017-11-06 16:00:00,145.26,148.52,145.12,148.4,1092399
2017-11-07 16:00:00,148.4,149.45,146.56,147.55,765036
2017-11-08 16:00:00,146.92,148.84,146.5,148.74,917616
2017-11-09 16:00:00,146.0,147.39,143.05,145.09,1045045
2017-11-10 16:00:00,144.95,146.98,144.95,146.31,743269
2017-11-13 16:00:00,145.19,145.72,143.58,144.61,1313855
2017-11-14 16:00:00,143.75,146.17,143.75,144.87,1112907
2017-11-15 16:00:00,143.97,144.85,141.36,143.38,1058553
2017-11-16 16:00:00,145.0,148.56,143.65,148.36,1648929
2017-11-17 16:00:00,147.75,151.145,147.4325,150.09,1607283
2017-11-20 16:00:00,149.75,152.76,149.75,151.5,1027101
2017-11-21 16:00:00,152.1,155.0,152.0,153.69,1318804
2017-11-22 16:00:00,154.61,154.96,152.5,153.27,1053260
2017-11-24 13:00:00,153.61,155.45,152.16,153.16,768115
