,Open,High,Low,Close,Volume
2017-10-25 16:00:00,54.44,54.54,53.73,54.14,5246861
2017-10-26 16:00:00,54.47,54.6499,54.22,54.3,5726497
2017-10-27 16:00:00,54.21,54.46,53.9575,54.44,4862947
2017-10-30 16:00:00,54.22,54.45,54.04,54.26,4243764
2017-10-31 16:00:00,54.12,54.82,54.01,54.38,5881994
2017-11-01 16:00:00,54.58,54.74,54.26,54.48,4642631
2017-11-02 16:00:00,54.37,55.08,54.06,54.88,4803794
2017-11-03 16:00:00,54.6,54.79,54.34,54.65,5218600
2017-11-06 16:00:00,54.54,54.96,54.31,54.85,5501741
2017-11-07 16:00:00,54.8,54.94,53.375,53.45,7539327
2017-11-08 16:00:00,53.34,53.44,52.63,52.68,6242110
2017-11-09 16:00:00,52.41,52.56,51.78,52.11,6012136
2017-11-10 16:00:00,52.22,52.36,51.58,51.61,5514808
2017-11-13 16:00:00,51.44,51.81,51.14,51.68,5843993
2017-11-14 16:00:00,51.38,51.84,51.33,51.83,5472650
2017-11-15 16:00:00,51.41,52.18,51.35,52.01,5389490
2017-11-16 16:00:00,52.18,52.25,51.78,51.81,4449085
2017-11-17 16:00:00,51.58,52.04,51.52,51.88,3297592
2017-11-20 16:00:00,52.03,52.03,51.735,51.93,3273190
2017-11-21 16:00:00,52.15,52.15,51.64,51.89,5194525
2017-11-22 16:00:00,51.87,52.05,51.835,51.91,4513565
2017-11-24 13:00:00,52.0,52.07,51.7,51.83,1466876
