,Open,High,Low,Close,Volume
2017-10-25 16:00:00,119.71,120.29,118.87,118.99,3687339
2017-10-26 16:00:00,119.45,120.07,119.0,119.93,3380834
2017-10-27 16:00:00,119.62,119.95,118.96,119.07,2852800
2017-10-30 16:00:00,119.41,120.53,118.8501,119.83,4432433
2017-10-31 16:00:00,120.04,120.24,119.5,119.76,3440550
2017-11-01 16:00:00,120.55,121.0,119.93,120.12,2690615
2017-11-02 16:00:00,120.09,121.51,119.71,121.46,1963078
2017-11-03 16:00:00,121.75,121.75,120.38,121.07,2405662
2017-11-06 16:00:00,121.26,121.46,120.37,120.39,2415567
2017-11-07 16:00:00,120.67,121.46,120.38,120.75,1853808
2017-11-08 16:00:00,120.52,120.99,120.01,120.28,2011247
2017-11-09 16:00:00,120.28,120.35,118.09,118.37,2815030
2017-11-10 16:00:00,118.0,118.48,118.0,118.11,3122523
2017-11-13 16:00:00,117.95,118.0,116.92,117.07,2217511
2017-11-14 16:00:00,117.07,119.02,117.0,118.8,2857901
2017-11-15 16:00:00,118.27,118.38,116.58,117.57,2628005
2017-11-16 16:00:00,117.3,118.21,117.1,117.89,2121574
2017-11-17 16:00:00,117.49,117.63,116.48,116.53,2808672
2017-11-20 16:00:00,116.83,117.18,116.3,116.38,2914911
2017-11-21 16:00:00,116.47,117.63,116.47,117.04,2493049
2017-11-22 16:00:00,117.0,117.19,116.55,116.73,2860673
2017-11-24 13:00:00,117.0,117.16,116.35,116.91,1486366
