,Open,High,Low,Close,Volume
2017-10-25 16:00:00,106.91,108.65,106.55,107.9,1094383
2017-10-26 16:00:00,99.5,104.84,99.0,104.41,2313810
2017-10-27 16:00:00,104.23,106.4,104.18,106.35,863070
2017-10-30 16:00:00,105.54,106.13,103.37,103.52,877834
2017-10-31 16:00:00,103.68,104.94,102.93,104.19,706633
2017-11-01 16:00:00,104.77,105.06,103.98,104.22,698367
2017-11-02 16:00:00,104.11,105.4,104.11,104.67,618289
2017-11-03 16:00:00,104.24,106.43,104.24,106.09,749190
2017-11-06 16:00:00,105.47,106.36,105.1,106.18,875731
2017-11-07 16:00:00,106.49,106.62,105.6,106.47,1058926
2017-11-08 16:00:00,106.58,107.66,106.05,107.6,936148
2017-11-09 16:00:00,106.62,108.14,105.91,107.69,718967
2017-11-10 16:00:00,107.23,108.13,106.83,107.55,682579
2017-11-13 16:00:00,107.0,108.34,106.39,108.24,639734
2017-11-14 16:00:00,108.07,109.71,107.69,109.34,885690
2017-11-15 16:00:00,108.87,109.18,107.5,107.89,714445
2017-11-16 16:00:00,108.24,109.31,107.38,109.22,667747
2017-11-17 16:00:00,108.9,109.585,108.25,109.03,611398
2017-11-20 16:00:00,109.45,110.23,108.73,109.24,585812
2017-11-21 16:00:00,109.42,109.76,108.16,108.4,818211
2017-11-22 16:00:00,108.29,108.96,107.61,108.79,589002
2017-11-24 13:00:00,108.91,109.21,108.18,108.87,211351
