,Open,High,Low,Close,Volume
2017-09-14 16:00:00,116.34,116.51,114.29,114.54,1368042
2017-09-15 16:00:00,114.11,114.61,112.83,113.21,1933249
2017-09-18 16:00:00,113.8,116.87,113.8,115.59,1613627
2017-09-19 16:00:00,115.67,115.955,113.89,115.18,1122312
2017-09-20 16:00:00,115.72,118.21,115.34,118.2,1488283
2017-09-21 16:00:00,118.53,118.81,116.4,117.0,905256
2017-09-22 16:00:00,117.0,117.36,116.15,116.67,609069
2017-09-25 16:00:00,116.52,116.93,114.82,115.73,947748
2017-09-26 16:00:00,115.88,116.485,114.6,115.89,626055
2017-09-27 16:00:00,116.31,120.1,116.06,118.83,1026867
2017-09-28 16:00:00,118.96,120.36,118.9,119.12,1114895
2017-09-29 16:00:00,119.19,120.01,118.33,119.6,955734
2017-10-02 16:00:00,119.58,120.33,118.16,118.93,1042194
2017-10-03 16:00:00,119.37,119.9,117.88,119.71,996518
2017-10-04 16:00:00,119.67,119.67,117.8,118.59,570721
2017-10-05 16:00:00,118.56,120.93,118.09,120.88,1111713
2017-10-06 16:00:00,119.9,120.88,119.2501,120.25,1220599
2017-10-09 16:00:00,120.35,121.18,119.43,120.19,732715
2017-10-10 16:00:00,120.49,120.49,118.09,119.01,886018
2017-10-11 16:00:00,119.11,119.35,117.96,118.38,61212
2017-10-12 16:00:00,116.76,118.38,116.58,117.79,1011186
2017-10-13 16:00:00,118.67,118.67,116.08,116.28,939461
2017-10-16 16:00:00,116.64,117.45,115.01,117.33,785708
2017-10-17 16:00:00,116.89,117.82,116.63,117.01,613353
2017-10-18 16:00:00,117.52,117.6,116.89,116.94,567026
2017-10-19 16:00:00,116.32,120.33,116.15,120.04,1419235
2017-10-20 16:00:00,120.58,122.54,120.08,121.61,1107413
2017-10-23 16:00:00,121.6,121.9976,120.185,121.08,954826
2017-10-24 16:00:00,121.17,123.85,121.17,123.76,1045883
2017-10-25 16:00:00,123.25,123.5,121.34,122.33,1439277
2017-10-26 16:00:00,123.0,123.94,120.911,123.01,1339701
2017-10-27 16:00:00,122.55,123.09,121.31,122.45,887086
2017-10-30 16:00:00,122.19,123.165,121.28,121.97,1348459
2017-10-31 16:00:00,122.5,123.01,121.68,121.75,961531
2017-11-01 16:00:00,122.55,122.7,120.08,121.02,1788492
2017-11-02 16:00:00,122.86,128.77,122.27,124.27,3874685
2017-11-03 16:00:00,123.8,126.46,123.09,126.43,1557944
2017-11-06 16:00:00,126.2,126.43,123.65,124.61,1006468
2017-11-07 16:00:00,124.3,125.0,121.63,122.66,1283326
2017-11-08 16:00:00,122.96,124.18,122.07,123.9,870258
2017-11-09 16:00:00,123.45,124.87,122.51,124.68,1024396
2017-11-10 16:00:00,124.1,124.51,122.37,124.09,991058
2017-11-13 16:00:00,123.33,124.5,123.26,123.99,726246
2017-11-14 16:00:00,123.9,124.18,122.58,123.92,828789
2017-11-15 16:00:00,123.61,123.71,121.26,121.56,1006028
2017-11-16 16:00:00,122.15,125.7336,121.37,123.85,1050993
2017-11-17 16:00:00,123.26,124.99,122.91,123.04,957721
2017-11-20 16:00:00,122.95,125.38,122.72,123.87,783488
2017-11-21 16:00:00,123.87,123.87,122.04,122.74,837231
2017-11-22 16:00:00,122.89,123.64,122.02,122.85,609875
2017-11-24 13:00:00,122.61,122.97,121.76,122.32,287589
2017-11-27 16:00:00,122.25,122.56,118.59,119.63,1466155
2017-11-28 16:00:00,119.98,121.75,119.72,121.66,832533
2017-11-29 16:00:00,121.98,125.54,121.35,124.86,1157284
2017-11-30 16:00:00,124.6,126.61,123.5,125.65,1540517
2017-12-01 16:00:00,125.73,125.85,120.47,121.21,1911037
2017-12-04 16:00:00,122.69,126.78,122.1,125.25,1860478
2017-12-05 16:00:00,123.89,126.27,121.6,122.71,1026051
2017-12-06 16:00:00,122.25,122.77,121.04,121.11,1238622
2017-12-07 16:00:00,121.29,125.8,120.58,124.88,1688602
2017-12-08 16:00:00,125.54,127.62,125.05,125.88,1359304
2017-12-11 16:00:00,125.01,125.62,122.35,122.92,1187846
2017-12-12 16:00:00,121.51,124.87,120.905,121.51,1225791
2017-12-13 16:00:00,122.17,123.97,121.39,123.11,1472560
