,Open,High,Low,Close,Volume
2017-09-14 16:00:00,74.48,75.66,74.31,75.18,1434956
2017-09-15 16:00:00,75.23,75.54,74.71,75.11,1704004
2017-09-18 16:00:00,75.07,75.36,74.46,74.56,1347897
2017-09-19 16:00:00,74.53,74.59,73.33,73.37,1382736
2017-09-20 16:00:00,73.37,73.855,72.77,73.83,1025271
2017-09-21 16:00:00,73.91,75.81,73.89,75.63,1270738
2017-09-22 16:00:00,75.64,76.09,75.26,75.66,2078848
2017-09-25 16:00:00,75.66,76.36,75.43,76.11,868962
2017-09-26 16:00:00,76.1,77.15,75.8,76.96,1570768
2017-09-27 16:00:00,76.8,77.02,76.45,76.85,1643596
2017-09-28 16:00:00,76.83,77.57,76.67,77.3,1266907
2017-09-29 16:00:00,77.2,77.49,76.32,76.88,1400437
2017-10-02 16:00:00,77.0,77.36,76.58,77.01,849606
2017-10-03 16:00:00,77.05,77.33,76.72,77.29,777232
2017-10-04 16:00:00,77.32,77.67,77.03,77.66,611026
2017-10-05 16:00:00,77.78,78.86,77.65,78.14,925139
2017-10-06 16:00:00,78.01,78.19,77.29,78.09,437727
2017-10-09 16:00:00,77.97,78.25,77.7,77.8,677247
2017-10-10 16:00:00,78.89,79.71,78.32,78.93,1353837
2017-10-11 16:00:00,78.95,79.16,78.72,79.13,36701
2017-10-12 16:00:00,79.3,79.59,78.9,79.57,806669
2017-10-13 16:00:00,79.97,80.3,79.42,79.89,610843
2017-10-16 16:00:00,79.86,79.96,78.89,78.93,921350
2017-10-17 16:00:00,78.64,79.15,78.18,78.28,704479
2017-10-18 16:00:00,78.22,78.51,76.77,77.0,1554666
2017-10-19 16:00:00,76.84,76.84,74.73,74.85,2365215
2017-10-20 16:00:00,74.72,74.92,73.66,74.5,1921264
2017-10-23 16:00:00,74.83,74.94,74.27,74.57,838150
2017-10-24 16:00:00,74.45,74.51,73.4297,73.64,830340
2017-10-25 16:00:00,73.61,73.7169,72.41,72.81,944321
2017-10-26 16:00:00,73.32,73.45,72.52,72.98,886461
2017-10-27 16:00:00,72.85,73.13,72.27,72.92,782877
2017-10-30 16:00:00,72.75,73.02,71.895,72.38,1217358
2017-10-31 16:00:00,73.45,75.07,72.37,74.86,1793805
2017-11-01 16:00:00,74.89,75.0,74.25,74.6,1122339
2017-11-02 16:00:00,74.57,74.83,73.595,74.03,1055213
2017-11-03 16:00:00,72.97,73.5,72.76,73.25,1033779
2017-11-06 16:00:00,73.54,74.515,73.41,74.25,1138632
2017-11-07 16:00:00,74.3,75.35,73.86,73.97,1014747
2017-11-08 16:00:00,74.0,74.75,74.0,74.24,1371996
2017-11-09 16:00:00,74.07,75.45,73.775,75.26,1699704
2017-11-10 16:00:00,74.87,76.185,74.87,75.61,763944
2017-11-13 16:00:00,75.46,76.07,75.26,75.97,792080
2017-11-14 16:00:00,75.93,76.36,75.61,76.14,1094594
2017-11-15 16:00:00,76.11,76.88,75.54,76.63,951364
2017-11-16 16:00:00,76.55,77.22,76.49,76.82,981208
2017-11-17 16:00:00,76.57,77.07,76.44,76.6,509762
2017-11-20 16:00:00,76.48,76.62,75.71,76.26,740585
2017-11-21 16:00:00,76.36,76.74,76.21,76.64,682149
2017-11-22 16:00:00,76.42,77.09,76.26,76.75,476991
2017-11-24 13:00:00,76.75,76.94,76.03,76.15,261028
2017-11-27 16:00:00,76.23,76.53,75.94,76.29,427944
2017-11-28 16:00:00,76.2,76.87,76.06,76.72,644043
2017-11-29 16:00:00,76.72,77.13,76.43,76.93,1347541
2017-11-30 16:00:00,77.45,77.84,77.14,77.62,1392291
2017-12-01 16:00:00,77.78,78.3,77.45,77.92,1027661
2017-12-04 16:00:00,77.65,77.93,76.77,77.32,2249498
2017-12-05 16:00:00,77.29,77.67,76.71,76.91,1005473
2017-12-06 16:00:00,77.06,77.0653,75.83,76.42,2176732
2017-12-07 16:00:00,76.13,76.22,75.27,76.06,1483322
2017-12-08 16:00:00,76.29,76.99,75.9,76.99,953711
2017-12-11 16:00:00,77.02,77.32,76.69,77.01,892845
2017-12-12 16:00:00,77.71,78.02,77.04,77.71,908807
2017-12-13 16:00:00,77.82,78.31,77.38,77.42,1675935
