,Open,High,Low,Close,Volume
2017-09-14 16:00:00,81.25,81.4879,80.32,80.69,817281
2017-09-15 16:00:00,80.72,81.4,80.53,81.03,1191693
2017-09-18 16:00:00,81.1,81.81,80.915,81.77,621041
2017-09-19 16:00:00,81.81,81.81,81.38,81.71,390303
2017-09-20 16:00:00,81.7,82.49,81.45,82.09,571118
2017-09-21 16:00:00,82.01,82.32,81.7,81.95,463938
2017-09-22 16:00:00,81.58,82.38,81.58,82.31,393588
2017-09-25 16:00:00,82.21,82.4,81.8202,82.03,595946
2017-09-26 16:00:00,82.5,82.5,81.7,81.9,1049422
2017-09-27 16:00:00,82.03,82.26,81.69,81.98,736542
2017-09-28 16:00:00,81.58,82.435,81.49,82.4,863988
2017-09-29 16:00:00,82.28,83.84,82.27,83.19,922175
2017-10-02 16:00:00,83.4,84.09,83.01,83.52,794924
2017-10-03 16:00:00,83.57,84.05,83.1,83.75,548731
2017-10-04 16:00:00,83.74,84.0,83.11,83.87,462929
2017-10-05 16:00:00,83.88,84.01,83.58,83.8,495008
2017-10-06 16:00:00,83.64,83.875,83.21,83.5,493867
2017-10-09 16:00:00,83.36,83.68,83.03,83.33,493474
2017-10-10 16:00:00,83.37,83.86,83.33,83.74,401170
2017-10-11 16:00:00,83.72,83.97,83.161,83.36,529970
2017-10-12 16:00:00,83.39,83.99,83.21,83.82,640233
2017-10-13 16:00:00,84.27,84.6,83.91,84.0,474000
2017-10-16 16:00:00,83.96,84.26,83.74,84.07,378971
2017-10-17 16:00:00,84.01,84.44,83.82,84.31,441423
2017-10-18 16:00:00,84.26,84.9,84.26,84.8,428509
2017-10-19 16:00:00,84.8,84.92,84.12,84.91,514808
2017-10-20 16:00:00,85.0,85.37,84.76,84.85,749091
2017-10-23 16:00:00,84.88,85.07,84.355,84.77,634146
2017-10-24 16:00:00,84.73,85.15,84.365,84.88,532448
2017-10-25 16:00:00,84.53,84.93,83.96,84.2,540561
2017-10-26 16:00:00,84.48,85.16,84.29,84.83,777153
2017-10-27 16:00:00,84.53,85.35,84.365,84.94,1169517
2017-10-30 16:00:00,84.92,85.16,84.4,84.7,778969
2017-10-31 16:00:00,84.81,85.42,84.66,85.05,1240607
2017-11-01 16:00:00,86.0,91.34,86.0,89.88,2413471
2017-11-02 16:00:00,90.3,91.31,89.93,91.02,1598461
2017-11-03 16:00:00,91.08,91.41,90.15,91.03,877081
2017-11-06 16:00:00,90.94,91.73,90.31,91.1,797588
2017-11-07 16:00:00,91.8,92.92,91.7,92.29,924526
2017-11-08 16:00:00,92.14,92.86,91.85,92.57,980810
2017-11-09 16:00:00,92.16,92.78,90.67,90.82,751524
2017-11-10 16:00:00,90.72,90.72,89.95,90.21,889566
2017-11-13 16:00:00,90.03,90.43,89.65,90.12,888923
2017-11-14 16:00:00,89.99,91.59,89.97,91.11,1044141
2017-11-15 16:00:00,91.1,91.32,90.39,90.83,613194
2017-11-16 16:00:00,91.13,91.41,90.63,90.82,1090202
2017-11-17 16:00:00,90.88,92.21,90.68,91.86,1884464
2017-11-20 16:00:00,91.74,92.56,91.62,92.53,1030785
2017-11-21 16:00:00,92.72,94.1,92.65,93.58,1269506
2017-11-22 16:00:00,93.52,94.26,93.21,93.82,946686
2017-11-24 13:00:00,93.8,94.13,93.52,93.88,223848
2017-11-27 16:00:00,93.88,94.51,93.87,94.22,685196
2017-11-28 16:00:00,94.41,95.25,94.13,95.23,759517
2017-11-29 16:00:00,95.29,95.92,94.81,94.98,681700
2017-11-30 16:00:00,95.19,96.915,94.84,96.42,904502
2017-12-01 16:00:00,98.05,98.6,94.18,95.64,957707
2017-12-04 16:00:00,95.82,96.71,95.79,96.01,877075
2017-12-05 16:00:00,96.34,96.65,95.88,95.94,838348
2017-12-06 16:00:00,96.08,96.35,95.62,95.87,605505
2017-12-07 16:00:00,96.25,96.41,95.35,95.44,715682
2017-12-08 16:00:00,96.01,96.38,95.35,96.16,565137
2017-12-11 16:00:00,95.96,95.96,94.23,94.32,1249404
2017-12-12 16:00:00,94.48,94.85,93.73,94.6,972403
2017-12-13 16:00:00,94.79,95.1,94.25,94.41,848248
