,Open,High,Low,Close,Volume
2017-10-25 16:00:00,150.08,151.09,146.08,146.8,2388956
2017-10-26 16:00:00,144.88,147.43,139.05,143.76,3735337
2017-10-27 16:00:00,141.41,150.15,141.0201,150.11,2747621
2017-10-30 16:00:00,149.71,152.8,148.865,149.53,1750533
2017-10-31 16:00:00,149.34,149.34,141.82,146.23,2457065
2017-11-01 16:00:00,147.35,147.35,142.39,142.63,2412596
2017-11-02 16:00:00,142.01,146.51,142.01,144.9,2049975
2017-11-03 16:00:00,143.05,150.08,142.99,149.97,1884899
2017-11-06 16:00:00,148.17,150.59,146.83,148.98,1608296
2017-11-07 16:00:00,149.03,151.34,148.32,151.31,1384975
2017-11-08 16:00:00,151.51,152.0,146.69,147.4,1191898
2017-11-09 16:00:00,146.26,148.5,144.321,148.17,1132350
2017-11-10 16:00:00,148.26,149.27,146.1,148.74,861047
2017-11-13 16:00:00,147.44,148.73,146.25,148.03,743628
2017-11-14 16:00:00,147.4,149.05,145.42,147.82,1209146
2017-11-15 16:00:00,147.29,151.75,146.3,148.66,1086600
2017-11-16 16:00:00,148.77,150.33,147.75,147.94,1516387
2017-11-17 16:00:00,147.7,148.79,146.65,147.41,903595
2017-11-20 16:00:00,146.92,147.46,143.43,144.64,1451615
2017-11-21 16:00:00,145.71,146.36,143.505,145.11,1501124
2017-11-22 16:00:00,145.42,147.39,144.81,147.04,906988
2017-11-24 13:00:00,146.08,147.9,146.04,146.55,660987
