,Open,High,Low,Close,Volume
2017-09-14 16:00:00,81.67,82.57,81.36,82.01,4343846
2017-09-15 16:00:00,81.94,83.74,81.3,82.5,22167526
2017-09-18 16:00:00,82.51,83.62,82.5,82.6,6117199
2017-09-19 16:00:00,82.97,82.99,80.7,81.21,7442764
2017-09-20 16:00:00,80.75,81.27,78.435,78.84,9417183
2017-09-21 16:00:00,78.84,78.98,77.7,78.2,6390076
2017-09-22 16:00:00,78.0,78.5,77.62,78.41,5001271
2017-09-25 16:00:00,78.6,79.42,78.58,78.96,5709867
2017-09-26 16:00:00,79.48,79.63,78.85,79.08,4292356
2017-09-27 16:00:00,78.87,79.27,77.53,78.15,6935780
2017-09-28 16:00:00,77.71,78.0,77.12,77.52,6995284
2017-09-29 16:00:00,77.32,77.45,76.62,77.22,5323067
2017-10-02 16:00:00,77.32,77.5,76.5,76.6,5513941
2017-10-03 16:00:00,76.74,76.87,75.52,76.79,4934262
2017-10-04 16:00:00,76.61,76.95,75.68,75.83,4652602
2017-10-05 16:00:00,76.43,77.07,75.8,76.95,4622724
2017-10-06 16:00:00,75.95,76.24,72.77,73.2,11629912
2017-10-09 16:00:00,73.36,73.3744,70.21,70.87,12528229
2017-10-10 16:00:00,70.8,70.99,69.28,69.85,12127651
2017-10-11 16:00:00,69.87,70.0299,68.8,68.92,7579218
2017-10-12 16:00:00,68.8,69.61,68.55,69.0,6119253
2017-10-13 16:00:00,68.99,69.03,67.401,67.56,8761658
2017-10-16 16:00:00,67.64,68.1698,67.21,67.31,6415734
2017-10-17 16:00:00,67.31,67.74,66.92,67.4,5926326
2017-10-18 16:00:00,67.46,68.17,67.41,67.74,5096723
2017-10-19 16:00:00,67.77,68.14,67.105,67.2,4979724
2017-10-20 16:00:00,67.21,68.31,67.06,68.06,8822118
2017-10-23 16:00:00,68.11,68.45,67.47,67.51,6707472
2017-10-24 16:00:00,67.68,68.09,67.23,67.29,8078114
2017-10-25 16:00:00,70.0,70.1092,66.05,69.36,16803553
2017-10-26 16:00:00,69.64,70.26,66.38,67.11,19132231
2017-10-27 16:00:00,66.57,66.96,63.82,64.48,21902851
2017-10-30 16:00:00,64.45,66.48,64.25,66.26,12605867
2017-10-31 16:00:00,66.22,66.745,65.67,66.27,12224735
2017-11-01 16:00:00,65.34,67.8,65.17,67.01,9702599
2017-11-02 16:00:00,67.37,68.05,66.3,66.78,8042635
2017-11-03 16:00:00,66.85,67.54,66.51,66.87,14066398
2017-11-06 16:00:00,66.75,66.97,65.86,65.94,5949600
2017-11-07 16:00:00,65.76,68.46,65.75,67.92,9462744
2017-11-08 16:00:00,67.86,69.125,67.41,68.9,7808332
2017-11-09 16:00:00,68.91,69.93,68.36,69.54,7907898
2017-11-10 16:00:00,68.93,71.095,68.76,70.99,12380988
2017-11-13 16:00:00,70.71,73.83,69.27,70.37,12459140
2017-11-14 16:00:00,70.16,70.93,69.57,70.59,5268978
2017-11-15 16:00:00,70.61,70.88,69.922,70.2,4418299
2017-11-16 16:00:00,70.26,71.41,70.02,71.3,4195048
2017-11-17 16:00:00,71.44,71.98,71.0,71.25,6226236
2017-11-20 16:00:00,70.97,71.45,69.82,70.78,6843026
2017-11-21 16:00:00,70.66,71.26,70.39,71.16,8050791
2017-11-22 16:00:00,71.13,72.12,71.0718,71.33,4391914
2017-11-24 13:00:00,71.01,71.41,70.22,70.28,1682964
2017-11-27 16:00:00,70.64,70.7,69.2608,69.39,5340132
2017-11-28 16:00:00,69.43,72.47,69.02,72.24,7593112
2017-11-29 16:00:00,72.35,73.36,71.77,71.92,6239170
2017-11-30 16:00:00,71.93,72.92,70.77,72.76,11377072
2017-12-01 16:00:00,71.96,72.46,70.51,71.45,8730218
2017-12-04 16:00:00,71.33,71.71,70.41,71.57,10287221
2017-12-05 16:00:00,71.33,71.62,70.09,70.18,5892855
2017-12-06 16:00:00,70.44,71.285,69.84,71.05,5993509
2017-12-07 16:00:00,70.91,71.0,69.5,69.61,8181683
2017-12-08 16:00:00,70.09,71.61,69.505,71.55,6906620
2017-12-11 16:00:00,71.32,72.44,71.24,71.88,6421291
2017-12-12 16:00:00,71.81,72.15,70.93,72.01,4421499
2017-12-13 16:00:00,71.99,72.09,70.75,71.72,6178628
