,Open,High,Low,Close,Volume
2017-09-14 16:00:00,65.05,65.82,64.93,65.81,1367724
2017-09-15 16:00:00,66.0,66.2,65.58,66.07,2484882
2017-09-18 16:00:00,66.0,66.15,65.1073,65.48,1988546
2017-09-19 16:00:00,65.55,65.6,64.98,65.0,2038418
2017-09-20 16:00:00,65.13,65.3,64.265,64.5,1261394
2017-09-21 16:00:00,64.46,64.8,64.19,64.27,1107975
2017-09-22 16:00:00,64.53,64.53,63.57,63.61,1244844
2017-09-25 16:00:00,63.5,64.43,63.5,64.24,1536992
2017-09-26 16:00:00,64.16,64.31,63.89,63.91,1324728
2017-09-27 16:00:00,63.5,63.71,62.59,62.89,1713439
2017-09-28 16:00:00,62.7,63.22,62.4,63.16,1661488
2017-09-29 16:00:00,63.16,63.16,62.64,62.78,1837867
2017-10-02 16:00:00,62.93,63.77,62.85,63.6,2562869
2017-10-03 16:00:00,63.52,63.52,62.84,63.32,1640412
2017-10-04 16:00:00,63.26,64.14,63.05,64.09,1656618
2017-10-05 16:00:00,64.01,64.13,63.68,64.07,1310800
2017-10-06 16:00:00,63.84,64.31,63.52,64.3,1827519
2017-10-09 16:00:00,64.41,64.5,64.115,64.26,1654441
2017-10-10 16:00:00,64.38,64.73,64.16,64.51,2081206
2017-10-11 16:00:00,64.57,65.31,64.51,65.18,94741
2017-10-12 16:00:00,64.78,65.64,64.74,65.57,1633298
2017-10-13 16:00:00,65.85,66.005,65.03,65.1,1316117
2017-10-16 16:00:00,65.0,65.44,64.76,65.03,1088314
2017-10-17 16:00:00,64.96,65.54,64.8,65.5,1290110
2017-10-18 16:00:00,65.41,65.77,65.18,65.7,1087229
2017-10-19 16:00:00,65.81,66.61,65.67,66.59,1535578
2017-10-20 16:00:00,66.54,66.86,66.35,66.81,1578026
2017-10-23 16:00:00,66.84,66.95,66.52,66.8,1481140
2017-10-24 16:00:00,66.66,66.91,66.41,66.82,1324663
2017-10-25 16:00:00,66.76,66.95,65.73,66.77,1498879
2017-10-26 16:00:00,67.1,67.7,66.82,67.28,1428429
2017-10-27 16:00:00,67.2,68.03,67.16,67.84,1288346
2017-10-30 16:00:00,67.75,67.95,67.36,67.47,1999098
2017-10-31 16:00:00,67.4,67.66,67.11,67.39,1941613
2017-11-01 16:00:00,67.7,67.73,66.7641,66.95,1484235
2017-11-02 16:00:00,67.11,67.67,66.93,67.61,1691308
2017-11-03 16:00:00,67.53,68.67,67.53,68.17,2971767
2017-11-06 16:00:00,68.18,68.24,67.63,67.65,1170162
2017-11-07 16:00:00,67.86,68.62,67.62,68.24,1629979
2017-11-08 16:00:00,68.15,68.45,67.76,68.17,1395505
2017-11-09 16:00:00,68.0,68.37,67.77,68.23,1532824
2017-11-10 16:00:00,67.91,68.2,67.56,67.92,1976839
2017-11-13 16:00:00,67.56,68.36,67.51,68.35,1783035
2017-11-14 16:00:00,68.26,69.58,68.13,69.53,2485364
2017-11-15 16:00:00,69.62,70.09,68.71,68.76,1772750
2017-11-16 16:00:00,68.63,68.89,68.4,68.77,1250987
2017-11-17 16:00:00,68.5,68.85,68.12,68.19,1108324
2017-11-20 16:00:00,68.3,68.47,67.84,67.98,1345048
2017-11-21 16:00:00,68.09,68.46,67.96,68.19,932738
2017-11-22 16:00:00,68.16,68.33,67.78,68.27,804283
2017-11-24 13:00:00,68.37,68.93,68.27,68.53,486449
2017-11-27 16:00:00,68.62,68.89,68.32,68.77,1019833
2017-11-28 16:00:00,68.89,69.31,68.71,68.93,1820563
2017-11-29 16:00:00,68.83,69.71,68.595,69.26,1866789
2017-11-30 16:00:00,69.44,69.72,69.11,69.49,3964776
2017-12-01 16:00:00,69.6,69.76,68.73,69.14,1371915
2017-12-04 16:00:00,69.49,69.49,68.36,68.58,1894265
2017-12-05 16:00:00,68.47,68.49,67.44,68.24,1811638
2017-12-06 16:00:00,68.38,68.65,68.11,68.42,1175994
2017-12-07 16:00:00,68.72,68.72,68.0,68.72,1293196
2017-12-08 16:00:00,68.56,68.99,68.3,68.96,1413626
2017-12-11 16:00:00,69.05,69.2,68.33,69.17,3172227
2017-12-12 16:00:00,67.66,69.07,67.6,67.66,2345002
2017-12-13 16:00:00,67.79,68.23,67.53,67.91,1408390
