,Open,High,Low,Close,Volume
2017-10-25 16:00:00,55.49,55.58,54.87,55.25,17096879
2017-10-26 16:00:00,55.45,56.17,55.45,55.62,15979177
2017-10-27 16:00:00,55.23,56.04,55.13,55.87,17258583
2017-10-30 16:00:00,55.45,55.96,55.31,55.85,12249199
2017-10-31 16:00:00,55.95,56.52,55.9,56.14,14619169
2017-11-01 16:00:00,56.32,56.84,56.19,56.21,11678320
2017-11-02 16:00:00,55.8,56.52,55.35,56.48,15630001
2017-11-03 16:00:00,56.25,56.44,55.901,56.35,10049173
2017-11-06 16:00:00,56.1,56.43,56.0,56.18,10414893
2017-11-07 16:00:00,56.17,56.29,54.67,55.05,18679065
2017-11-08 16:00:00,54.8,54.99,54.05,54.26,24047114
2017-11-09 16:00:00,53.9,54.19,53.21,54.0,24438825
2017-11-10 16:00:00,54.02,54.13,53.791,53.81,13671702
2017-11-13 16:00:00,53.52,53.91,53.41,53.72,13447019
2017-11-14 16:00:00,53.52,54.1,53.32,54.04,20830063
2017-11-15 16:00:00,53.63,54.115,53.485,53.75,18238575
2017-11-16 16:00:00,53.95,54.86,53.86,54.6,26361825
2017-11-17 16:00:00,54.21,54.46,53.97,54.15,15814821
2017-11-20 16:00:00,54.12,54.21,53.85,54.05,16943059
2017-11-21 16:00:00,54.08,54.579,53.99,54.52,13757036
2017-11-22 16:00:00,54.46,54.62,54.025,54.06,11421659
2017-11-24 13:00:00,54.19,54.3088,54.0,54.09,5386489
