,Open,High,Low,Close,Volume
2017-10-25 16:00:00,162.72,163.0,159.71,160.94,2497223
2017-10-26 16:00:00,161.13,163.1,160.57,161.51,1531097
2017-10-27 16:00:00,161.64,162.94,160.63,161.41,1250981
2017-10-30 16:00:00,161.0,161.991,160.56,161.66,910196
2017-10-31 16:00:00,161.77,164.83,160.63,163.93,1138772
2017-11-01 16:00:00,165.0,167.45,163.6301,164.42,1137854
2017-11-02 16:00:00,163.72,164.665,160.94,163.41,985406
2017-11-03 16:00:00,163.53,166.225,163.31,163.86,951341
2017-11-06 16:00:00,163.53,163.92,162.55,163.42,496218
2017-11-07 16:00:00,163.37,163.499,162.1,162.56,732895
2017-11-08 16:00:00,162.67,163.0675,161.81,162.77,543639
2017-11-09 16:00:00,161.76,162.92,161.29,162.74,687854
2017-11-10 16:00:00,162.54,162.96,161.68,162.05,704511
2017-11-13 16:00:00,161.5,162.47,161.43,161.67,490846
2017-11-14 16:00:00,161.97,161.97,159.97,161.0,620105
2017-11-15 16:00:00,159.58,162.24,158.8,161.57,736745
2017-11-16 16:00:00,161.57,164.465,161.2485,162.88,639121
2017-11-17 16:00:00,162.42,166.08,161.75,165.4,808569
2017-11-20 16:00:00,165.87,166.85,164.72,165.2,553935
2017-11-21 16:00:00,165.82,169.88,164.21,168.88,1400855
2017-11-22 16:00:00,168.8,169.4399,166.17,166.64,889597
2017-11-24 13:00:00,167.84,168.75,166.83,167.82,336316
