,Open,High,Low,Close,Volume
2017-09-14 16:00:00,152.52,152.9,151.16,152.42,1338102
2017-09-15 16:00:00,152.2,153.8,151.64,153.14,1884757
2017-09-18 16:00:00,153.2,153.68,151.59,152.1,1158034
2017-09-19 16:00:00,152.49,152.85,151.71,151.84,784293
2017-09-20 16:00:00,152.28,152.74,151.58,152.41,812423
2017-09-21 16:00:00,152.3,152.6,151.31,151.37,308198
2017-09-22 16:00:00,151.33,152.88,151.28,152.71,989530
2017-09-25 16:00:00,152.4,153.97,152.02,153.52,647485
2017-09-26 16:00:00,153.99,156.14,153.5,154.86,1906757
2017-09-27 16:00:00,155.11,156.06,154.81,155.83,1103847
2017-09-28 16:00:00,154.96,155.69,154.23,155.53,555022
2017-09-29 16:00:00,155.54,155.81,153.79,154.23,566028
2017-10-02 16:00:00,154.41,155.62,153.28,155.49,669527
2017-10-03 16:00:00,155.07,155.72,154.79,154.89,624685
2017-10-04 16:00:00,155.06,155.06,153.6901,154.7,522788
2017-10-05 16:00:00,154.96,155.57,154.08,155.25,413503
2017-10-06 16:00:00,155.78,156.33,154.89,155.02,554205
2017-10-09 16:00:00,155.12,155.45,154.4,154.68,399681
2017-10-10 16:00:00,154.97,156.02,154.44,155.95,541974
2017-10-11 16:00:00,155.86,156.12,155.21,155.96,636465
2017-10-12 16:00:00,155.96,156.98,155.7,156.43,649220
2017-10-13 16:00:00,156.74,157.84,156.21,157.59,972404
2017-10-16 16:00:00,158.12,159.16,156.42,158.95,625789
2017-10-17 16:00:00,159.21,159.6,158.14,158.94,734555
2017-10-18 16:00:00,159.1,160.16,158.59,159.8,543483
2017-10-19 16:00:00,159.1,161.27,158.85,161.17,466983
2017-10-20 16:00:00,161.93,163.06,161.49,162.82,484559
2017-10-23 16:00:00,163.48,164.58,162.61,164.02,626150
2017-10-24 16:00:00,164.1,164.58,162.76,163.28,984986
2017-10-25 16:00:00,163.17,163.87,162.15,163.24,762399
2017-10-26 16:00:00,164.0,164.305,161.106,162.82,505543
2017-10-27 16:00:00,162.32,162.33,160.0508,161.62,537873
2017-10-30 16:00:00,160.78,162.19,160.19,161.01,706352
2017-10-31 16:00:00,160.56,161.54,160.56,161.08,615699
2017-11-01 16:00:00,161.5,163.0,159.9,160.91,931003
2017-11-02 16:00:00,164.43,165.0,157.09,157.48,1520091
2017-11-03 16:00:00,157.5,160.0,157.36,159.59,748660
2017-11-06 16:00:00,160.01,161.67,158.47,161.19,700252
2017-11-07 16:00:00,161.17,162.67,160.4,161.6,589856
2017-11-08 16:00:00,160.98,161.68,160.05,160.99,365278
2017-11-09 16:00:00,161.7,162.41,160.12,161.5,711012
2017-11-10 16:00:00,161.43,162.03,160.39,161.57,445712
2017-11-13 16:00:00,161.12,162.2,160.94,161.49,467455
2017-11-14 16:00:00,160.66,162.86,160.13,162.03,892008
2017-11-15 16:00:00,161.83,162.84,161.54,162.65,710499
2017-11-16 16:00:00,162.8,163.0,159.82,159.93,933569
2017-11-17 16:00:00,159.22,160.3,158.045,160.07,1735174
2017-11-20 16:00:00,159.75,160.34,158.89,159.89,1061689
2017-11-21 16:00:00,160.66,160.66,159.71,159.8,852879
2017-11-22 16:00:00,160.27,160.66,158.69,158.79,899589
2017-11-24 13:00:00,159.25,159.79,158.68,159.52,333855
2017-11-27 16:00:00,159.29,159.51,158.43,158.5,731992
2017-11-28 16:00:00,158.42,159.95,158.42,159.4,1207297
2017-11-29 16:00:00,159.96,161.01,158.99,159.07,754990
2017-11-30 16:00:00,159.8,161.28,158.38,160.8,944827
2017-12-01 16:00:00,160.82,162.02,158.02,161.95,1074875
2017-12-04 16:00:00,161.77,162.72,158.41,158.48,909215
2017-12-05 16:00:00,158.54,158.99,157.07,157.32,633548
2017-12-06 16:00:00,157.7,158.2,156.7,157.1,418606
2017-12-07 16:00:00,156.54,157.16,155.36,155.42,734048
2017-12-08 16:00:00,155.46,156.13,154.85,155.46,746470
2017-12-11 16:00:00,155.44,156.085,154.84,155.28,731937
2017-12-12 16:00:00,154.79,155.39,154.22,155.2,731108
2017-12-13 16:00:00,155.29,155.58,152.78,152.93,599751
