,Open,High,Low,Close,Volume
2017-10-25 16:00:00,77.93,77.93,77.38,77.51,1849812
2017-10-26 16:00:00,78.58,81.43,78.0,81.31,3795253
2017-10-27 16:00:00,81.67,82.695,81.37,82.31,2767611
2017-10-30 16:00:00,82.31,82.87,81.59,81.87,2005732
2017-10-31 16:00:00,81.75,82.28,81.6098,82.17,2000479
2017-11-01 16:00:00,82.21,82.45,80.86,81.1,2755133
2017-11-02 16:00:00,81.25,82.04,81.25,81.65,2629499
2017-11-03 16:00:00,81.87,82.63,81.7,81.7,2000976
2017-11-06 16:00:00,81.63,81.71,81.24,81.24,1313305
2017-11-07 16:00:00,81.28,81.71,81.21,81.63,2088574
2017-11-08 16:00:00,81.54,82.21,81.53,81.84,1301576
2017-11-09 16:00:00,81.55,81.76,81.01,81.4,1213125
2017-11-10 16:00:00,81.21,81.53,81.07,81.32,1815599
2017-11-13 16:00:00,81.32,82.19,81.27,82.14,1902825
2017-11-14 16:00:00,81.71,82.5,81.53,82.38,1439377
2017-11-15 16:00:00,82.2,82.25,78.33,81.73,1129858
2017-11-16 16:00:00,81.85,82.245,81.53,81.7,2141234
2017-11-17 16:00:00,81.61,81.72,80.54,80.65,2157793
2017-11-20 16:00:00,80.88,81.31,80.69,80.92,1963784
2017-11-21 16:00:00,81.02,81.165,80.65,80.87,1371730
2017-11-22 16:00:00,80.87,80.88,80.24,80.26,2363966
2017-11-24 13:00:00,80.33,80.5,79.76,80.38,540674
