,Open,High,Low,Close,Volume
2017-09-14 16:00:00,79.79,79.82,79.215,79.68,6939333
2017-09-15 16:00:00,79.81,80.75,79.27,80.38,13317757
2017-09-18 16:00:00,80.21,81.12,79.95,80.0,8176067
2017-09-19 16:00:00,80.18,80.46,79.7,80.05,6174358
2017-09-20 16:00:00,80.17,80.56,79.87,80.5,5318194
2017-09-21 16:00:00,80.57,80.57,79.72,80.01,6430256
2017-09-22 16:00:00,79.89,80.08,79.245,79.53,5755262
2017-09-25 16:00:00,78.92,80.1,78.86,79.15,8547808
2017-09-26 16:00:00,79.04,79.54,78.92,79.39,5835332
2017-09-27 16:00:00,79.42,79.57,78.67,79.29,6238543
2017-09-28 16:00:00,79.0,79.08,78.12,78.95,12372825
2017-09-29 16:00:00,78.85,79.0,77.98,78.14,10353361
2017-10-02 16:00:00,77.9,78.83,77.5,78.45,7709220
2017-10-03 16:00:00,78.83,79.66,78.75,79.22,7936742
2017-10-04 16:00:00,79.27,79.7813,79.07,79.09,6173376
2017-10-05 16:00:00,79.17,79.81,79.08,79.41,5138671
2017-10-06 16:00:00,78.78,79.17,78.25,79.0,6246655
2017-10-09 16:00:00,79.5,81.38,79.401,80.53,13493044
2017-10-10 16:00:00,82.68,84.88,82.61,84.13,25123962
2017-10-11 16:00:00,84.58,84.8,84.1,84.6344,1712675
2017-10-12 16:00:00,85.7,86.37,85.06,86.1,12876987
2017-10-13 16:00:00,86.24,86.95,86.24,86.62,9389049
2017-10-16 16:00:00,86.58,86.62,85.02,85.74,9300326
2017-10-17 16:00:00,85.5,86.3555,85.321,85.98,5851546
2017-10-18 16:00:00,86.15,86.3682,86.01,86.22,5472088
2017-10-19 16:00:00,86.15,86.66,85.7659,86.4,7028958
2017-10-20 16:00:00,86.6,87.45,86.28,87.44,7617753
2017-10-23 16:00:00,87.34,88.92,87.26,88.65,10586033
2017-10-24 16:00:00,88.69,88.8,87.91,87.98,7700872
2017-10-25 16:00:00,87.85,88.6,87.43,88.48,6408003
2017-10-26 16:00:00,88.66,89.11,88.02,88.62,6484941
2017-10-27 16:00:00,88.14,88.39,87.15,88.17,6617000
2017-10-30 16:00:00,87.94,87.95,86.391,86.95,7051993
2017-10-31 16:00:00,86.86,87.46,86.6,87.31,6006933
2017-11-01 16:00:00,87.07,88.395,87.0,87.94,6176079
2017-11-02 16:00:00,88.28,89.1652,87.8,88.8,5183089
2017-11-03 16:00:00,89.02,89.88,88.76,89.68,6512059
2017-11-06 16:00:00,89.42,89.68,88.68,88.7,5257445
2017-11-07 16:00:00,88.87,89.06,88.31,88.95,5349331
2017-11-08 16:00:00,89.11,90.42,89.1,90.26,6767543
2017-11-09 16:00:00,89.94,90.57,89.35,90.3,6904457
2017-11-10 16:00:00,90.24,91.69,90.2,90.92,7647801
2017-11-13 16:00:00,91.04,91.98,90.87,90.99,8491567
2017-11-14 16:00:00,90.7,91.2,90.18,91.09,9834133
2017-11-15 16:00:00,90.34,90.85,89.65,89.83,8433438
2017-11-16 16:00:00,95.12,99.68,94.72,99.62,38122384
2017-11-17 16:00:00,99.24,100.13,96.58,97.47,23575513
2017-11-20 16:00:00,96.44,97.64,95.76,97.48,16394324
2017-11-21 16:00:00,97.74,97.92,96.32,96.52,12746499
2017-11-22 16:00:00,96.65,96.8099,96.11,96.41,8918247
2017-11-24 13:00:00,96.87,97.23,96.53,96.62,4496117
2017-11-27 16:00:00,96.85,97.65,96.3,96.62,8904890
2017-11-28 16:00:00,96.59,96.885,95.82,96.77,8709645
2017-11-29 16:00:00,97.22,98.26,96.88,97.56,11424004
2017-11-30 16:00:00,98.09,98.44,96.51,97.23,12854680
2017-12-01 16:00:00,97.61,97.71,96.23,97.35,8296198
2017-12-04 16:00:00,97.73,97.96,96.675,97.01,8956524
2017-12-05 16:00:00,97.0,97.94,96.92,97.83,9010067
2017-12-06 16:00:00,97.99,98.14,97.2401,97.28,7140986
2017-12-07 16:00:00,97.06,97.58,96.65,96.78,7502602
2017-12-08 16:00:00,96.55,96.7,96.138,96.55,5821061
2017-12-11 16:00:00,96.96,97.27,96.29,96.93,8928919
2017-12-12 16:00:00,96.7,97.24,96.6,96.7,7810642
2017-12-13 16:00:00,96.66,97.91,96.55,97.76,7879383
