,Open,High,Low,Close,Volume
2017-10-25 16:00:00,61.32,61.32,60.37,60.97,1736369
2017-10-26 16:00:00,61.39,61.39,60.44,60.47,1808218
2017-10-27 16:00:00,60.56,60.86,58.63,60.83,2023945
2017-10-30 16:00:00,60.55,61.09,60.2375,60.32,1026100
2017-10-31 16:00:00,60.75,61.35,60.14,61.33,1861892
2017-11-01 16:00:00,61.33,61.6,60.83,61.33,2422454
2017-11-02 16:00:00,61.21,61.22,59.21,59.82,2129574
2017-11-03 16:00:00,59.85,60.05,59.0,59.95,1617658
2017-11-06 16:00:00,59.99,60.42,58.36,59.27,2238810
2017-11-07 16:00:00,59.45,59.52,58.54,58.95,1187422
2017-11-08 16:00:00,58.9,59.35,58.45,59.34,1146681
2017-11-09 16:00:00,58.74,59.53,58.49,59.03,1855330
2017-11-10 16:00:00,59.02,59.12,58.44,58.66,1185795
2017-11-13 16:00:00,58.51,58.89,58.18,58.84,1320390
2017-11-14 16:00:00,58.73,59.22,58.2,58.66,1389585
2017-11-15 16:00:00,58.54,59.18,58.14,58.76,1281099
2017-11-16 16:00:00,59.23,59.55,58.59,59.15,1577926
2017-11-17 16:00:00,58.93,59.72,58.53,59.5,1192507
2017-11-20 16:00:00,59.32,59.32,58.44,58.45,1313645
2017-11-21 16:00:00,58.79,59.15,58.56,58.66,1329358
2017-11-22 16:00:00,59.06,59.06,58.64,58.79,850956
2017-11-24 13:00:00,59.21,59.38,58.66,58.86,350754
