,Open,High,Low,Close,Volume
2017-09-14 16:00:00,18.91,19.02,18.88,18.94,2769338
2017-09-15 16:00:00,18.85,19.01,18.825,18.91,5598719
2017-09-18 16:00:00,18.98,19.11,18.92,19.1,2430817
2017-09-19 16:00:00,19.13,19.1934,19.01,19.05,2146383
2017-09-20 16:00:00,19.05,19.12,18.88,18.95,2185705
2017-09-21 16:00:00,18.92,19.015,18.9,18.91,2509712
2017-09-22 16:00:00,18.91,19.005,18.88,18.99,2575435
2017-09-25 16:00:00,18.94,19.085,18.865,19.03,2726859
2017-09-26 16:00:00,19.08,19.08,18.7,18.73,3967258
2017-09-27 16:00:00,18.8,19.02,18.74,19.0,3538332
2017-09-28 16:00:00,18.97,19.085,18.92,19.06,3028362
2017-09-29 16:00:00,19.03,19.2,19.03,19.2,2905252
2017-10-02 16:00:00,19.23,19.46,19.185,19.4,4540174
2017-10-03 16:00:00,19.4,19.479,19.27,19.38,3278429
2017-10-04 16:00:00,19.38,19.42,19.32,19.41,3916280
2017-10-05 16:00:00,19.43,19.75,19.345,19.65,3887705
2017-10-06 16:00:00,19.65,19.67,19.425,19.52,2515673
2017-10-09 16:00:00,19.56,19.61,19.465,19.52,1883350
2017-10-10 16:00:00,19.59,19.64,19.52,19.6,2001091
2017-10-11 16:00:00,19.6,19.66,19.54,19.545,204814
2017-10-12 16:00:00,19.69,19.755,19.615,19.74,2787921
2017-10-13 16:00:00,19.79,19.99,19.755,19.79,1935420
2017-10-16 16:00:00,19.82,19.88,19.65,19.76,2634158
2017-10-17 16:00:00,19.77,19.9,19.68,19.7,3401434
2017-10-18 16:00:00,19.74,19.91,19.74,19.79,3712920
2017-10-19 16:00:00,19.73,19.87,19.64,19.86,2580938
2017-10-20 16:00:00,20.0,20.39,19.97,20.31,4094419
2017-10-23 16:00:00,20.34,20.4,20.18,20.2,2351788
2017-10-24 16:00:00,20.22,20.24,20.06,20.1,2768906
2017-10-25 16:00:00,20.09,20.15,19.89,20.03,2693402
2017-10-26 16:00:00,20.1,20.27,20.07,20.25,2169661
2017-10-27 16:00:00,20.34,20.4,20.045,20.26,2405278
2017-10-30 16:00:00,20.12,20.125,19.69,19.72,3172158
2017-10-31 16:00:00,19.72,19.92,19.57,19.86,2919496
2017-11-01 16:00:00,19.97,20.04,19.83,19.98,3219467
2017-11-02 16:00:00,19.93,20.11,19.81,20.08,4774395
2017-11-03 16:00:00,20.1,20.67,19.43,19.5,7262928
2017-11-06 16:00:00,19.41,19.85,19.27,19.43,5339826
2017-11-07 16:00:00,19.52,19.61,19.14,19.16,4417987
2017-11-08 16:00:00,19.2,19.76,19.125,19.75,4926787
2017-11-09 16:00:00,19.63,20.15,19.63,20.08,5372880
2017-11-10 16:00:00,20.14,20.21,20.09,20.14,5479625
2017-11-13 16:00:00,20.08,20.1,19.495,19.52,3133704
2017-11-14 16:00:00,19.48,19.75,19.45,19.65,2996556
2017-11-15 16:00:00,19.55,19.64,19.36,19.6,3213349
2017-11-16 16:00:00,19.74,19.855,19.63,19.77,2399338
2017-11-17 16:00:00,19.68,19.81,19.53,19.68,2463777
2017-11-20 16:00:00,19.73,19.82,19.59,19.68,2030216
2017-11-21 16:00:00,19.69,19.84,19.66,19.7,2155672
2017-11-22 16:00:00,19.72,19.74,19.495,19.55,1831482
2017-11-24 13:00:00,19.58,19.7,19.5,19.65,1551150
2017-11-27 16:00:00,19.67,19.73,19.4,19.48,2838600
2017-11-28 16:00:00,19.52,19.7,19.46,19.69,2692079
2017-11-29 16:00:00,19.72,19.85,19.645,19.7,3982793
2017-11-30 16:00:00,19.75,19.99,19.61,19.69,4978233
2017-12-01 16:00:00,19.66,19.84,19.4,19.71,5169773
2017-12-04 16:00:00,19.84,19.88,19.625,19.71,6123427
2017-12-05 16:00:00,19.73,19.87,19.52,19.55,4829662
2017-12-06 16:00:00,19.56,19.68,19.4,19.4,4390144
2017-12-07 16:00:00,19.39,19.62,19.36,19.52,3827765
2017-12-08 16:00:00,19.58,19.58,19.36,19.39,3210851
2017-12-11 16:00:00,19.48,19.7,19.41,19.53,4719594
2017-12-12 16:00:00,19.5,19.66,19.305,19.5,3672536
2017-12-13 16:00:00,19.49,19.67,19.34,19.37,3591393
