,Open,High,Low,Close,Volume
2017-09-14 16:00:00,33.04,33.2,32.91,33.06,1938244
2017-09-15 16:00:00,33.04,33.11,32.85,32.99,4022382
2017-09-18 16:00:00,32.93,33.44,32.93,33.37,3764940
2017-09-19 16:00:00,33.39,33.45,33.18,33.28,2810804
2017-09-20 16:00:00,33.43,33.7,33.32,33.4,2355329
2017-09-21 16:00:00,33.39,33.595,33.05,33.42,3213860
2017-09-22 16:00:00,33.43,33.65,33.28,33.58,2535051
2017-09-25 16:00:00,33.57,33.89,33.51,33.81,2662937
2017-09-26 16:00:00,33.8,33.88,33.67,33.72,2486474
2017-09-27 16:00:00,33.72,33.83,33.415,33.8,2099186
2017-09-28 16:00:00,33.72,34.05,33.615,34.01,1614882
2017-09-29 16:00:00,34.0,34.195,33.87,34.03,2804657
2017-10-02 16:00:00,34.06,34.28,33.985,34.12,1951157
2017-10-03 16:00:00,34.11,34.3,34.05,34.12,1446708
2017-10-04 16:00:00,34.07,34.34,34.07,34.32,1302668
2017-10-05 16:00:00,34.34,34.49,34.12,34.22,2689369
2017-10-06 16:00:00,34.1,34.2,33.92,34.2,1699966
2017-10-09 16:00:00,34.16,34.29,33.93,34.12,1627806
2017-10-10 16:00:00,34.19,34.43,34.08,34.32,2044124
2017-10-11 16:00:00,34.35,34.45,34.29,34.34,137742
2017-10-12 16:00:00,34.32,34.65,34.14,34.59,1901217
2017-10-13 16:00:00,34.66,35.0,34.49,34.9,2424463
2017-10-16 16:00:00,34.87,35.17,34.7433,35.02,3120108
2017-10-17 16:00:00,34.95,35.06,34.82,35.03,1649518
2017-10-18 16:00:00,35.03,35.38,34.99,35.23,2933377
2017-10-19 16:00:00,35.15,35.26,34.895,35.18,2490409
2017-10-20 16:00:00,35.29,35.47,35.15,35.28,2216235
2017-10-23 16:00:00,35.4,35.48,34.82,34.82,2690352
2017-10-24 16:00:00,34.92,35.0,34.69,34.87,2548505
2017-10-25 16:00:00,34.74,34.81,34.45,34.68,2256934
2017-10-26 16:00:00,34.85,35.12,34.73,34.88,3212793
2017-10-27 16:00:00,34.78,35.888,34.76,35.51,4282130
2017-10-30 16:00:00,35.61,35.69,35.38,35.61,2956251
2017-10-31 16:00:00,35.63,36.0,35.53,35.91,3378317
2017-11-01 16:00:00,36.0,36.3,35.69,35.81,3466082
2017-11-02 16:00:00,35.94,36.3,35.5,35.61,4953544
2017-11-03 16:00:00,35.46,35.86,35.31,35.71,2431372
2017-11-06 16:00:00,35.67,35.77,35.49,35.66,2209834
2017-11-07 16:00:00,35.69,35.99,35.65,35.99,2294034
2017-11-08 16:00:00,35.94,36.48,35.91,36.41,4026503
2017-11-09 16:00:00,36.27,36.34,35.93,36.27,1885995
2017-11-10 16:00:00,36.2,36.48,36.09,36.14,3026428
2017-11-13 16:00:00,36.12,36.47,35.9,35.96,2375866
2017-11-14 16:00:00,35.75,36.25,35.55,36.2,2370085
2017-11-15 16:00:00,36.05,36.68,35.91,36.55,4002445
2017-11-16 16:00:00,36.64,36.92,36.35,36.55,2930502
2017-11-17 16:00:00,36.35,36.62,36.28,36.28,2399516
2017-11-20 16:00:00,36.34,36.52,36.09,36.11,2673163
2017-11-21 16:00:00,36.2,36.27,36.0,36.11,2825149
2017-11-22 16:00:00,36.11,36.3,36.08,36.19,1269393
2017-11-24 13:00:00,36.24,36.5,36.11,36.17,709620
2017-11-27 16:00:00,36.29,36.31,35.49,35.53,3625859
2017-11-28 16:00:00,35.77,36.06,35.66,35.68,2429830
2017-11-29 16:00:00,35.64,35.68,35.21,35.37,2818449
2017-11-30 16:00:00,35.26,35.74,35.01,35.38,3921533
2017-12-01 16:00:00,35.55,35.5659,34.81,35.4,2805636
2017-12-04 16:00:00,35.63,35.76,34.96,35.13,3899603
2017-12-05 16:00:00,35.19,35.44,35.05,35.19,1876784
2017-12-06 16:00:00,35.24,35.39,35.04,35.24,2235064
2017-12-07 16:00:00,35.25,35.65,35.18,35.62,1787570
2017-12-08 16:00:00,35.71,35.75,35.34,35.43,2270893
2017-12-11 16:00:00,35.37,35.48,35.05,35.44,2124581
2017-12-12 16:00:00,35.63,35.93,35.58,35.63,3228457
2017-12-13 16:00:00,35.75,36.16,35.59,35.76,2566977
