,Open,High,Low,Close,Volume
2017-09-14 16:00:00,101.98,103.12,101.78,102.67,1043767
2017-09-15 16:00:00,102.25,102.27,100.77,101.44,1224843
2017-09-18 16:00:00,101.67,101.95,101.29,101.47,724115
2017-09-19 16:00:00,101.56,101.61,100.96,101.52,862977
2017-09-20 16:00:00,101.77,102.7,101.26,102.68,651819
2017-09-21 16:00:00,102.75,103.479,102.47,103.19,985519
2017-09-22 16:00:00,103.31,105.42,103.31,105.23,1186359
2017-09-25 16:00:00,104.63,105.2,103.56,103.65,784225
2017-09-26 16:00:00,104.0,105.27,103.94,104.88,1511565
2017-09-27 16:00:00,105.31,105.39,104.03,104.83,719016
2017-09-28 16:00:00,104.65,105.37,104.33,105.25,846897
2017-09-29 16:00:00,105.43,105.74,104.7,105.41,1007146
2017-10-02 16:00:00,105.35,106.61,104.73,106.02,916637
2017-10-03 16:00:00,106.0,106.45,104.68,105.28,895979
2017-10-04 16:00:00,105.53,106.54,105.29,105.9,595991
2017-10-05 16:00:00,105.99,107.12,105.76,106.82,650311
2017-10-06 16:00:00,106.81,107.2299,105.89,107.05,1552520
2017-10-09 16:00:00,107.23,107.92,106.5,107.9,1140544
2017-10-10 16:00:00,107.95,109.05,107.54,108.69,1113729
2017-10-11 16:00:00,108.96,109.42,108.5,109.05,27942
2017-10-12 16:00:00,108.54,109.77,108.26,109.67,1014801
2017-10-13 16:00:00,110.15,110.62,109.77,110.37,781395
2017-10-16 16:00:00,110.11,110.74,109.71,110.02,841006
2017-10-17 16:00:00,109.96,110.04,109.3901,109.63,653796
2017-10-18 16:00:00,110.03,110.13,109.14,109.33,784320
2017-10-19 16:00:00,108.87,109.67,108.274,109.3,590228
2017-10-20 16:00:00,109.84,109.85,108.65,109.0,728550
2017-10-23 16:00:00,109.29,109.405,108.09,108.27,1177527
2017-10-24 16:00:00,108.18,109.22,108.07,108.52,1106569
2017-10-25 16:00:00,102.22,105.19,102.0,104.32,3286068
2017-10-26 16:00:00,104.6,106.73,104.55,106.47,1497562
2017-10-27 16:00:00,106.47,107.035,105.7101,106.56,1162226
2017-10-30 16:00:00,105.91,106.485,104.75,105.74,768995
2017-10-31 16:00:00,105.82,107.16,105.82,106.85,1247058
2017-11-01 16:00:00,108.56,110.04,106.76,107.22,972957
2017-11-02 16:00:00,107.56,108.01,106.79,107.46,777189
2017-11-03 16:00:00,107.16,110.44,107.16,108.91,1172344
2017-11-06 16:00:00,108.88,109.41,108.44,109.04,654341
2017-11-07 16:00:00,109.7,110.22,108.5,108.68,794146
2017-11-08 16:00:00,108.74,109.21,108.36,109.09,654135
2017-11-09 16:00:00,108.15,109.14,106.31,106.94,1588884
2017-11-10 16:00:00,106.58,106.61,104.77,106.07,1395097
2017-11-13 16:00:00,105.61,106.91,105.495,106.3,1128169
2017-11-14 16:00:00,105.98,107.62,105.25,107.54,1068694
2017-11-15 16:00:00,106.67,106.91,105.66,106.48,836886
2017-11-16 16:00:00,107.35,108.51,106.8,108.23,967160
2017-11-17 16:00:00,107.8,109.27,107.78,108.76,611720
2017-11-20 16:00:00,108.71,109.66,108.53,109.53,467324
2017-11-21 16:00:00,109.8,110.88,109.79,110.27,1011343
2017-11-22 16:00:00,110.56,110.56,109.301,109.64,959449
2017-11-24 13:00:00,109.34,109.58,108.78,109.07,225679
2017-11-27 16:00:00,109.31,109.94,108.86,108.87,824682
2017-11-28 16:00:00,109.33,110.75,108.84,110.35,1344258
2017-11-29 16:00:00,110.54,112.48,110.26,112.27,922968
2017-11-30 16:00:00,112.36,112.85,110.69,112.39,1420561
2017-12-01 16:00:00,112.45,113.0,109.78,111.67,645080
2017-12-04 16:00:00,112.66,114.13,112.17,112.21,1039523
2017-12-05 16:00:00,112.37,114.49,112.27,112.9,1216373
2017-12-06 16:00:00,113.06,113.21,112.21,112.77,774515
2017-12-07 16:00:00,112.37,113.4,112.2,112.77,668655
2017-12-08 16:00:00,113.31,113.8,112.76,113.05,414900
2017-12-11 16:00:00,112.63,113.42,112.01,112.74,981245
2017-12-12 16:00:00,111.98,113.07,111.84,111.98,692941
2017-12-13 16:00:00,112.0,112.56,111.66,111.8,557965
