,Open,High,Low,Close,Volume
2017-10-25 16:00:00,144.6,146.549,143.0,143.51,1705435
2017-10-26 16:00:00,145.53,146.1,142.733,145.34,2748050
2017-10-27 16:00:00,142.66,146.0,141.05,143.15,3038145
2017-10-30 16:00:00,142.55,142.76,140.375,141.21,1636843
2017-10-31 16:00:00,143.88,149.65,143.88,147.49,3938054
2017-11-01 16:00:00,152.38,153.56,149.87,151.55,3463860
2017-11-02 16:00:00,151.55,152.13,149.885,150.05,1357250
2017-11-03 16:00:00,149.5,151.02,149.1,150.09,1214452
2017-11-06 16:00:00,150.05,154.28,149.55,151.39,1772805
2017-11-07 16:00:00,152.85,153.42,150.7398,152.19,1286481
2017-11-08 16:00:00,152.25,153.0,151.09,152.79,2153362
2017-11-09 16:00:00,151.95,154.0922,151.24,153.59,1455658
2017-11-10 16:00:00,153.19,154.6699,153.01,154.03,903886
2017-11-13 16:00:00,153.75,156.4,153.52,155.24,1282934
2017-11-14 16:00:00,154.54,155.27,152.28,153.6,1101197
2017-11-15 16:00:00,152.5,152.5,150.01,151.62,1191080
2017-11-16 16:00:00,152.0,154.3,151.81,153.2,1269890
2017-11-17 16:00:00,152.9,153.69,151.98,152.28,849583
2017-11-20 16:00:00,153.75,157.81,153.587,156.96,1771410
2017-11-21 16:00:00,156.96,158.73,156.69,158.57,916919
2017-11-22 16:00:00,158.53,159.55,157.72,158.69,962293
2017-11-24 13:00:00,158.58,159.99,158.4,159.42,436994
