,Open,High,Low,Close,Volume
2017-10-25 16:00:00,49.3,49.45,48.56,49.38,3109995
2017-10-26 16:00:00,49.83,49.83,48.98,49.05,4393957
2017-10-27 16:00:00,48.95,49.42,48.92,49.21,3345647
2017-10-30 16:00:00,49.17,49.35,49.09,49.29,2687218
2017-10-31 16:00:00,49.16,49.69,49.11,49.52,2826976
2017-11-01 16:00:00,49.66,49.71,49.19,49.23,2640584
2017-11-02 16:00:00,49.14,49.92,48.925,49.26,5562141
2017-11-03 16:00:00,49.13,49.8,49.13,49.59,4203563
2017-11-06 16:00:00,49.63,49.785,49.38,49.4,2734608
2017-11-07 16:00:00,49.45,50.24,49.29,50.03,2895620
2017-11-08 16:00:00,49.93,50.37,49.93,50.25,4501410
2017-11-09 16:00:00,50.04,50.57,50.04,50.51,3693816
2017-11-10 16:00:00,50.2,50.37,50.03,50.2,3296476
2017-11-13 16:00:00,50.17,50.85,50.13,50.79,3419297
2017-11-14 16:00:00,50.65,51.85,50.64,51.8,4215979
2017-11-15 16:00:00,51.97,52.22,51.18,51.18,3878896
2017-11-16 16:00:00,51.04,51.26,50.96,51.18,2393024
2017-11-17 16:00:00,51.06,51.28,50.8,50.89,2185415
2017-11-20 16:00:00,50.92,51.05,50.56,50.59,2176511
2017-11-21 16:00:00,50.73,50.83,50.54,50.61,2740514
2017-11-22 16:00:00,50.61,50.74,50.35,50.53,1928081
2017-11-24 13:00:00,50.67,50.88,50.635,50.71,956018
