,Open,High,Low,Close,Volume
2017-09-14 16:00:00,40.26,40.47,39.1,39.24,2345024
2017-09-15 16:00:00,39.2,39.75,38.81,39.37,4058988
2017-09-18 16:00:00,39.53,39.595,39.095,39.17,1921924
2017-09-19 16:00:00,39.2,39.78,39.01,39.03,2995204
2017-09-20 16:00:00,39.13,39.26,38.39,39.03,1410588
2017-09-21 16:00:00,39.2,39.695,39.15,39.64,1985796
2017-09-22 16:00:00,39.44,39.71,38.83,39.19,2432560
2017-09-25 16:00:00,39.16,39.87,38.73,39.41,2955819
2017-09-26 16:00:00,39.19,39.19,38.2,38.23,3188701
2017-09-27 16:00:00,38.54,38.84,37.965,37.99,4744100
2017-09-28 16:00:00,38.02,39.165,37.47,39.11,3768478
2017-09-29 16:00:00,39.11,39.7,39.1,39.45,3302956
2017-10-02 16:00:00,39.22,39.74,38.72,39.61,3409955
2017-10-03 16:00:00,39.66,39.83,39.0,39.8,3522441
2017-10-04 16:00:00,39.53,39.8,39.02,39.15,3416687
2017-10-05 16:00:00,39.15,39.57,38.8,39.54,2346735
2017-10-06 16:00:00,39.55,39.99,39.42,39.57,2531083
2017-10-09 16:00:00,39.55,39.55,39.0,39.32,1268641
2017-10-10 16:00:00,39.39,39.84,39.11,39.67,2239771
2017-10-11 16:00:00,39.42,39.46,38.99,39.02,168481
2017-10-12 16:00:00,40.63,40.94,40.03,40.67,5269712
2017-10-13 16:00:00,39.4,41.63,38.97,41.51,6374224
2017-10-16 16:00:00,41.59,42.545,41.24,41.64,4518906
2017-10-17 16:00:00,41.77,42.08,41.315,42.02,4586915
2017-10-18 16:00:00,42.03,42.065,41.22,41.34,3888223
2017-10-19 16:00:00,41.18,42.49,41.155,42.46,3116430
2017-10-20 16:00:00,42.96,42.99,42.295,42.51,2949357
2017-10-23 16:00:00,42.39,42.58,41.9,42.21,2213730
2017-10-24 16:00:00,42.24,42.81,42.06,42.32,2587187
2017-10-25 16:00:00,41.47,42.83,41.2,41.49,3178675
2017-10-26 16:00:00,41.71,41.95,40.75,40.85,2944801
2017-10-27 16:00:00,40.83,41.1,40.31,40.8,1934506
2017-10-30 16:00:00,40.68,41.6,40.68,41.26,3310356
2017-10-31 16:00:00,41.28,41.67,40.325,40.47,3009915
2017-11-01 16:00:00,40.6,40.78,40.1,40.34,3137209
2017-11-02 16:00:00,40.435,40.71,38.48,39.48,5375822
2017-11-03 16:00:00,39.41,40.12,38.885,40.04,4327861
2017-11-06 16:00:00,39.93,39.9836,39.33,39.69,2118571
2017-11-07 16:00:00,39.8,40.57,39.74,39.91,2140007
2017-11-08 16:00:00,39.98,39.98,39.495,39.53,1816196
2017-11-09 16:00:00,39.14,40.51,39.14,40.14,4498842
2017-11-10 16:00:00,40.15,40.27,39.57,39.71,1779806
2017-11-13 16:00:00,39.64,39.66,39.12,39.4,1693818
2017-11-14 16:00:00,39.21,39.25,38.78,39.0,2205484
2017-11-15 16:00:00,38.76,39.35,38.63,39.23,2346568
2017-11-16 16:00:00,39.29,39.33,38.65,38.67,2303864
2017-11-17 16:00:00,38.58,38.8,38.26,38.63,2711379
2017-11-20 16:00:00,38.61,38.75,38.23,38.72,2185497
2017-11-21 16:00:00,38.84,38.84,38.28,38.3,1239991
2017-11-22 16:00:00,38.28,38.6,37.97,38.25,1398391
2017-11-24 13:00:00,38.31,38.42,37.98,38.08,511204
2017-11-27 16:00:00,38.19,39.07,37.95,38.85,1940957
2017-11-28 16:00:00,38.82,39.185,38.48,39.03,1517896
2017-11-29 16:00:00,39.17,39.94,39.0,39.54,3180049
2017-11-30 16:00:00,39.7,39.93,38.55,38.82,4318330
2017-12-01 16:00:00,38.96,39.04,37.98,38.45,1724501
2017-12-04 16:00:00,38.68,38.79,37.89,37.94,2503463
2017-12-05 16:00:00,37.98,38.05,37.2,37.32,1939911
2017-12-06 16:00:00,37.37,37.68,37.11,37.45,1728960
2017-12-07 16:00:00,37.36,37.46,36.52,36.73,2053061
2017-12-08 16:00:00,36.68,36.87,36.27,36.87,2030996
2017-12-11 16:00:00,36.73,36.84,36.43,36.82,1413553
2017-12-12 16:00:00,37.03,37.22,36.88,37.03,1252780
2017-12-13 16:00:00,37.0,37.09,36.08,36.1,1923082
