,Open,High,Low,Close,Volume
2017-09-14 16:00:00,66.77,68.3,66.66,67.84,3480069
2017-09-15 16:00:00,68.29,68.75,67.72,68.33,3320569
2017-09-18 16:00:00,68.69,69.99,68.5,69.7,2971775
2017-09-19 16:00:00,69.54,70.33,69.28,69.82,2385536
2017-09-20 16:00:00,69.73,69.99,68.59,69.49,2492828
2017-09-21 16:00:00,69.4,69.7436,68.5,68.91,2375677
2017-09-22 16:00:00,68.68,69.42,68.63,69.33,1540271
2017-09-25 16:00:00,69.25,69.64,68.55,69.45,1990785
2017-09-26 16:00:00,69.8,70.31,69.3,69.52,2568010
2017-09-27 16:00:00,70.16,70.86,69.7611,70.43,2669197
2017-09-28 16:00:00,70.33,70.78,70.02,70.19,1677692
2017-09-29 16:00:00,70.39,70.93,69.55,70.83,2186284
2017-10-02 16:00:00,71.03,71.76,70.24,70.47,2797225
2017-10-03 16:00:00,70.7,71.38,70.26,71.15,1746922
2017-10-04 16:00:00,71.22,71.22,70.65,71.13,1909440
2017-10-05 16:00:00,71.13,71.76,70.84,71.53,2119567
2017-10-06 16:00:00,71.47,72.04,71.34,72.01,1534644
2017-10-09 16:00:00,72.07,72.7,72.03,72.57,1213378
2017-10-10 16:00:00,72.79,72.85,71.96,72.48,1546673
2017-10-11 16:00:00,72.28,72.97,72.23,72.76,1332848
2017-10-12 16:00:00,72.75,72.9,72.3,72.47,2185935
2017-10-13 16:00:00,72.95,73.32,72.68,72.81,1768824
2017-10-16 16:00:00,73.11,73.15,72.37,72.66,2455292
2017-10-17 16:00:00,72.67,73.06,72.3,72.37,2340281
2017-10-18 16:00:00,72.31,72.77,71.88,72.07,2055810
2017-10-19 16:00:00,71.92,72.48,70.97,72.42,2124082
2017-10-20 16:00:00,72.86,72.86,71.7,72.17,2030739
2017-10-23 16:00:00,72.32,72.8238,71.52,71.68,2243840
2017-10-24 16:00:00,71.93,72.04,71.42,71.61,2387511
2017-10-25 16:00:00,71.32,71.81,70.38,70.72,2649060
2017-10-26 16:00:00,67.99,70.89,67.25,70.63,4206015
2017-10-27 16:00:00,70.63,73.0,70.5,72.76,2875299
2017-10-30 16:00:00,72.54,73.46,72.36,73.05,1533389
2017-10-31 16:00:00,73.09,73.8953,73.01,73.69,1630164
2017-11-01 16:00:00,74.06,74.11,72.485,73.04,1624229
2017-11-02 16:00:00,73.0,73.38,71.86,72.48,2565115
2017-11-03 16:00:00,72.63,72.84,72.29,72.8,2216081
2017-11-06 16:00:00,73.15,74.51,72.98,74.5,3226037
2017-11-07 16:00:00,74.23,75.14,73.29,73.91,2240739
2017-11-08 16:00:00,73.86,73.86,73.16,73.62,1306372
2017-11-09 16:00:00,73.32,73.37,70.62,70.76,2838400
2017-11-10 16:00:00,70.8,71.94,70.63,71.87,1809278
2017-11-13 16:00:00,71.65,72.61,71.31,72.33,1442865
2017-11-14 16:00:00,71.61,72.24,71.3958,72.05,992107
2017-11-15 16:00:00,71.75,71.98,70.61,70.94,1123398
2017-11-16 16:00:00,71.4,72.86,71.23,72.67,1264657
2017-11-17 16:00:00,72.7,72.995,71.59,71.81,1801407
2017-11-20 16:00:00,71.81,72.93,71.455,72.64,1118241
2017-11-21 16:00:00,73.01,73.79,72.75,73.21,1250666
2017-11-22 16:00:00,73.46,73.4942,72.22,72.24,768931
2017-11-24 13:00:00,72.4,73.0,72.4,72.88,426684
2017-11-27 16:00:00,72.57,72.88,71.98,72.49,1087232
2017-11-28 16:00:00,72.78,72.99,71.73,72.17,1581007
2017-11-29 16:00:00,71.94,72.1,68.35,69.38,3059410
2017-11-30 16:00:00,69.73,70.3,69.2,69.51,3346532
2017-12-01 16:00:00,69.0,69.4,67.04,68.24,3137252
2017-12-04 16:00:00,68.57,69.29,67.08,68.16,2037694
2017-12-05 16:00:00,68.16,69.47,67.565,68.42,1360600
2017-12-06 16:00:00,68.17,68.98,68.01,68.39,1417105
2017-12-07 16:00:00,68.65,69.6,68.49,69.0,1192390
2017-12-08 16:00:00,69.58,69.71,68.49,68.54,1039640
2017-12-11 16:00:00,68.54,68.815,67.84,68.38,1649186
2017-12-12 16:00:00,68.01,68.4,67.45,67.68,1876415
2017-12-13 16:00:00,68.17,68.64,67.9001,68.03,2421495
