,Open,High,Low,Close,Volume
2017-09-14 16:00:00,59.14,59.14,57.49,58.12,2080016
2017-09-15 16:00:00,58.84,59.57,58.51,59.34,2670746
2017-09-18 16:00:00,59.22,59.38,58.31,58.71,1995355
2017-09-19 16:00:00,58.71,58.76,57.75,57.85,1570087
2017-09-20 16:00:00,58.35,58.83,58.08,58.65,1107148
2017-09-21 16:00:00,58.48,58.77,57.61,57.81,1104895
2017-09-22 16:00:00,57.75,58.595,57.65,58.53,970334
2017-09-25 16:00:00,58.28,59.22,58.1101,59.16,1222306
2017-09-26 16:00:00,59.15,59.88,59.02,59.55,1382593
2017-09-27 16:00:00,59.68,59.86,58.91,59.77,1196766
2017-09-28 16:00:00,59.79,60.63,59.09,59.23,996262
2017-09-29 16:00:00,59.04,59.88,58.72,59.81,1103503
2017-10-02 16:00:00,58.0,58.31,54.91,56.33,6473086
2017-10-03 16:00:00,56.5,56.89,55.37,55.65,3423794
2017-10-04 16:00:00,55.5,57.3,55.06,57.21,4749322
2017-10-05 16:00:00,57.22,59.55,57.0,58.98,3242401
2017-10-06 16:00:00,58.93,59.14,58.22,58.51,3205156
2017-10-09 16:00:00,58.4,58.46,58.02,58.09,1026859
2017-10-10 16:00:00,58.16,58.24,56.89,57.57,2286954
2017-10-11 16:00:00,57.45,57.56,56.99,57.32,1403568
2017-10-12 16:00:00,57.4,58.485,57.085,58.41,1887942
2017-10-13 16:00:00,58.39,58.69,57.79,58.22,1408351
2017-10-16 16:00:00,58.26,59.22,58.25,59.19,1981392
2017-10-17 16:00:00,59.2,59.575,58.89,59.5,1706935
2017-10-18 16:00:00,59.2,59.57,59.11,59.5,2441746
2017-10-19 16:00:00,59.6,60.7,59.39,60.67,1846781
2017-10-20 16:00:00,60.87,62.23,60.29,61.84,2219307
2017-10-23 16:00:00,62.05,62.18,61.4,61.82,2306501
2017-10-24 16:00:00,61.75,61.77,60.98,61.09,2854700
2017-10-25 16:00:00,60.91,61.28,60.66,61.0,1687953
2017-10-26 16:00:00,61.33,61.83,61.02,61.37,1206974
2017-10-27 16:00:00,60.94,61.6,60.73,61.35,1565858
2017-10-30 16:00:00,61.17,61.36,60.6701,61.28,1309636
2017-10-31 16:00:00,61.29,61.63,60.8,61.07,1848780
2017-11-01 16:00:00,61.37,61.74,61.06,61.16,1820214
2017-11-02 16:00:00,61.26,61.61,60.79,61.16,2371121
2017-11-03 16:00:00,62.16,66.0,61.94,64.8,4671017
2017-11-06 16:00:00,65.72,67.95,63.09,63.87,2836226
2017-11-07 16:00:00,63.78,64.41,63.43,64.38,2314784
2017-11-08 16:00:00,64.44,64.55,63.98,64.51,1716755
2017-11-09 16:00:00,63.99,65.66,63.98,65.56,1870096
2017-11-10 16:00:00,65.21,65.6,64.65,65.58,1935996
2017-11-13 16:00:00,65.26,66.21,65.2491,65.8,2055750
2017-11-14 16:00:00,65.34,65.895,64.96,65.39,2290924
2017-11-15 16:00:00,65.78,66.99,65.56,66.6,2558994
2017-11-16 16:00:00,66.88,67.26,66.575,67.18,1408305
2017-11-17 16:00:00,67.06,67.67,66.975,67.55,1391809
2017-11-20 16:00:00,67.36,67.5499,65.92,66.43,1996262
2017-11-21 16:00:00,66.1,67.11,65.75,67.01,1828011
2017-11-22 16:00:00,66.84,67.78,66.62,67.59,1199131
2017-11-24 13:00:00,67.22,67.58,67.2,67.51,589619
2017-11-27 16:00:00,67.47,68.21,66.73,68.0,1119988
2017-11-28 16:00:00,68.55,68.98,68.29,68.58,1941843
2017-11-29 16:00:00,68.42,68.51,67.67,68.36,1864940
2017-11-30 16:00:00,67.35,67.96,66.3,67.01,2630299
2017-12-01 16:00:00,67.0,67.34,65.43,66.08,1922536
2017-12-04 16:00:00,66.48,66.78,65.72,65.75,1644801
2017-12-05 16:00:00,65.79,66.2599,65.47,65.61,1509488
2017-12-06 16:00:00,64.97,65.82,64.97,65.5,1214384
2017-12-07 16:00:00,65.11,65.555,64.93,64.99,2151964
2017-12-08 16:00:00,65.91,66.0,64.84,64.9,1957665
2017-12-11 16:00:00,64.83,65.11,64.65,65.02,1655786
2017-12-12 16:00:00,65.1,65.405,64.86,64.99,1066688
2017-12-13 16:00:00,66.15,67.06,65.93,66.06,1624596
