,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.58,32.83,32.45,32.81,975981
2017-09-15 16:00:00,32.58,32.76,32.47,32.64,2868307
2017-09-18 16:00:00,32.7,32.74,32.16,32.29,1770215
2017-09-19 16:00:00,32.4,32.55,32.28,32.44,1459752
2017-09-20 16:00:00,32.44,32.955,32.43,32.88,2391571
2017-09-21 16:00:00,32.83,33.0,32.67,32.93,1677381
2017-09-22 16:00:00,32.88,33.19,32.745,33.13,1416793
2017-09-25 16:00:00,33.0,33.275,32.82,33.25,1229230
2017-09-26 16:00:00,33.39,33.8,33.31,33.71,2104384
2017-09-27 16:00:00,33.8,34.13,33.575,33.95,1560701
2017-09-28 16:00:00,33.72,33.905,33.521,33.86,1785748
2017-09-29 16:00:00,33.84,33.84,33.265,33.29,1416568
2017-10-02 16:00:00,33.26,33.69,33.24,33.46,1525474
2017-10-03 16:00:00,33.46,33.7,33.08,33.1,1552301
2017-10-04 16:00:00,33.08,33.21,32.8,32.86,1985526
2017-10-05 16:00:00,32.85,33.21,32.795,33.03,1829480
2017-10-06 16:00:00,32.99,32.99,32.77,32.92,1004711
2017-10-09 16:00:00,33.0,33.12,32.58,32.61,1455460
2017-10-10 16:00:00,32.78,32.92,32.61,32.71,1075150
2017-10-11 16:00:00,32.69,32.78,32.67,32.67,41593
2017-10-12 16:00:00,32.69,32.81,32.54,32.71,1178152
2017-10-13 16:00:00,32.81,33.24,32.69,33.01,1801502
2017-10-16 16:00:00,33.08,33.12,32.83,33.09,946545
2017-10-17 16:00:00,33.02,33.09,32.64,32.75,1194712
2017-10-18 16:00:00,32.81,33.12,32.7,32.84,1160664
2017-10-19 16:00:00,32.65,33.11,32.51,33.1,1584702
2017-10-20 16:00:00,33.31,33.6,33.19,33.38,2301405
2017-10-23 16:00:00,33.49,33.62,33.25,33.28,1005234
2017-10-24 16:00:00,33.34,33.63,33.24,33.45,1149653
2017-10-25 16:00:00,33.43,33.52,32.945,33.1,1872343
2017-10-26 16:00:00,32.83,32.83,29.82,30.65,6999211
2017-10-27 16:00:00,30.65,30.77,29.38,30.48,5344864
2017-10-30 16:00:00,30.25,30.575,29.85,30.23,3385385
2017-10-31 16:00:00,30.14,30.6499,29.835,30.31,3553781
2017-11-01 16:00:00,30.34,30.52,29.98,30.29,2784793
2017-11-02 16:00:00,30.29,30.29,29.46,29.48,2438534
2017-11-03 16:00:00,29.51,29.565,28.89,29.06,2916927
2017-11-06 16:00:00,29.02,29.24,28.8,29.08,1621409
2017-11-07 16:00:00,29.14,29.14,28.54,28.59,2263546
2017-11-08 16:00:00,28.59,29.5,28.51,29.37,2301663
2017-11-09 16:00:00,29.08,29.555,29.07,29.27,1576988
2017-11-10 16:00:00,29.2,29.39,29.02,29.17,1503340
2017-11-13 16:00:00,29.04,29.09,28.07,28.17,3355572
2017-11-14 16:00:00,28.15,28.4948,28.02,28.08,2253347
2017-11-15 16:00:00,27.93,28.33,27.55,28.17,1812736
2017-11-16 16:00:00,28.3,28.37,28.11,28.26,2219479
2017-11-17 16:00:00,28.2,28.465,28.07,28.36,1717554
2017-11-20 16:00:00,28.36,28.69,28.27,28.5,2451931
2017-11-21 16:00:00,28.62,28.76,28.405,28.43,1429306
2017-11-22 16:00:00,28.32,28.48,28.07,28.29,2267220
2017-11-24 13:00:00,28.46,28.51,28.2001,28.49,675277
2017-11-27 16:00:00,28.41,28.45,28.18,28.23,1944647
2017-11-28 16:00:00,28.29,29.09,28.23,29.0,1705879
2017-11-29 16:00:00,29.05,29.49,29.05,29.3,1955628
2017-11-30 16:00:00,29.5,29.86,29.269,29.66,3438341
2017-12-01 16:00:00,29.62,29.855,29.13,29.72,3169271
2017-12-04 16:00:00,29.96,30.44,29.32,29.37,3084794
2017-12-05 16:00:00,29.51,29.7,29.23,29.44,2025060
2017-12-06 16:00:00,29.42,29.72,29.26,29.64,1404610
2017-12-07 16:00:00,29.67,29.88,29.525,29.59,1521971
2017-12-08 16:00:00,29.8,29.84,29.455,29.59,1460050
2017-12-11 16:00:00,29.59,29.89,29.42,29.59,2589938
2017-12-12 16:00:00,29.74,29.98,29.6,29.74,2864342
2017-12-13 16:00:00,29.73,30.04,29.37,29.42,4010613
