,Open,High,Low,Close,Volume
2017-09-14 16:00:00,77.21,77.58,76.99,77.16,1802390
2017-09-15 16:00:00,77.22,77.22,75.22,75.25,5742937
2017-09-18 16:00:00,75.36,75.97,75.35,75.71,2193541
2017-09-19 16:00:00,75.71,75.835,75.04,75.76,1444251
2017-09-20 16:00:00,75.91,76.64,75.89,76.37,1520336
2017-09-21 16:00:00,76.55,76.69,76.17,76.48,1270136
2017-09-22 16:00:00,76.48,76.48,75.79,75.97,1451942
2017-09-25 16:00:00,75.57,75.57,73.38,73.95,3807065
2017-09-26 16:00:00,73.97,74.13,73.31,73.4,2306655
2017-09-27 16:00:00,73.41,73.75,72.68,73.1,3075437
2017-09-28 16:00:00,72.66,73.7,72.61,73.5,2410152
2017-09-29 16:00:00,73.5,73.94,73.21,73.61,1942271
2017-10-02 16:00:00,73.37,74.02,73.37,73.75,2154956
2017-10-03 16:00:00,73.81,74.39,73.81,73.92,1980808
2017-10-04 16:00:00,74.03,74.32,73.92,74.1,1420480
2017-10-05 16:00:00,74.11,74.91,74.0,74.58,1704087
2017-10-06 16:00:00,74.73,76.17,74.57,75.93,2748361
2017-10-09 16:00:00,75.95,76.29,75.61,76.0,1439066
2017-10-10 16:00:00,76.08,76.74,75.74,76.18,1402735
2017-10-11 16:00:00,76.2,76.92,76.2,76.64,85108
2017-10-12 16:00:00,76.5,76.85,76.28,76.41,1676143
2017-10-13 16:00:00,76.47,76.5,75.88,76.2,1536156
2017-10-16 16:00:00,76.51,76.78,75.94,76.21,1490296
2017-10-17 16:00:00,76.11,76.7899,76.035,76.19,1410724
2017-10-18 16:00:00,76.37,76.66,76.0,76.02,1293198
2017-10-19 16:00:00,75.94,76.16,75.2,75.82,1726993
2017-10-20 16:00:00,76.05,76.17,75.71,76.17,1271301
2017-10-23 16:00:00,76.27,76.375,75.53,75.55,1695277
2017-10-24 16:00:00,75.56,75.74,75.22,75.34,1398793
2017-10-25 16:00:00,75.0,75.31,74.18,74.67,2007600
2017-10-26 16:00:00,75.21,76.15,75.21,75.87,1829905
2017-10-27 16:00:00,75.99,76.05,75.13,75.24,2097888
2017-10-30 16:00:00,74.92,75.17,74.34,74.96,2026003
2017-10-31 16:00:00,74.82,75.15,74.39,74.45,1945281
2017-11-01 16:00:00,74.54,74.95,74.26,74.31,1887183
2017-11-02 16:00:00,79.26,80.66,76.21,79.15,4749433
2017-11-03 16:00:00,78.55,80.2199,78.54,78.91,2583988
2017-11-06 16:00:00,79.01,79.95,78.81,79.87,1731648
2017-11-07 16:00:00,80.0,81.25,79.94,81.01,2669309
2017-11-08 16:00:00,80.56,81.65,80.03,81.13,2534454
2017-11-09 16:00:00,80.86,81.15,78.8,79.53,2097031
2017-11-10 16:00:00,79.15,79.78,78.79,79.59,1604253
2017-11-13 16:00:00,79.58,79.96,79.55,79.74,1306448
2017-11-14 16:00:00,79.55,80.05,79.385,79.43,1250237
2017-11-15 16:00:00,79.0,79.52,78.71,78.8,1831039
2017-11-16 16:00:00,78.79,79.22,78.35,78.54,1707148
2017-11-17 16:00:00,78.32,78.78,78.05,78.6,1486337
2017-11-20 16:00:00,78.72,79.03,78.47,78.79,1314633
2017-11-21 16:00:00,79.21,79.76,79.05,79.53,1824997
2017-11-22 16:00:00,79.42,79.72,79.09,79.23,1115812
2017-11-24 13:00:00,79.25,79.71,79.14,79.18,682543
2017-11-27 16:00:00,79.22,79.7,79.13,79.58,1141219
2017-11-28 16:00:00,79.84,81.13,79.7,81.03,1787351
2017-11-29 16:00:00,81.29,82.12,81.2,81.81,1669284
2017-11-30 16:00:00,82.07,84.06,81.78,83.47,3051934
2017-12-01 16:00:00,83.46,83.75,81.65,83.4,2486439
2017-12-04 16:00:00,83.77,84.29,83.1,83.31,2309244
2017-12-05 16:00:00,83.57,84.1,83.03,83.1,1899462
2017-12-06 16:00:00,83.34,84.26,83.145,83.24,1573871
2017-12-07 16:00:00,83.06,83.43,82.78,83.05,1580797
2017-12-08 16:00:00,83.15,83.69,82.85,83.32,1877080
2017-12-11 16:00:00,83.32,83.32,82.28,82.45,1643942
2017-12-12 16:00:00,81.99,82.42,81.645,81.99,1628520
2017-12-13 16:00:00,82.18,82.74,82.06,82.19,1640896
