,Open,High,Low,Close,Volume
2017-10-25 16:00:00,121.0,121.69,119.93,121.46,1489967
2017-10-26 16:00:00,121.5,121.99,120.77,121.0,1186293
2017-10-27 16:00:00,122.04,124.75,121.01,124.46,1494615
2017-10-30 16:00:00,123.38,123.89,120.88,121.35,1588457
2017-10-31 16:00:00,121.72,122.4295,120.885,121.62,1822879
2017-11-01 16:00:00,111.91,117.125,110.79,115.09,4569988
2017-11-02 16:00:00,114.9,115.155,111.29,112.32,3478298
2017-11-03 16:00:00,110.08,111.0,108.54,109.25,3918693
2017-11-06 16:00:00,109.32,110.515,108.95,109.34,2515318
2017-11-07 16:00:00,109.98,109.98,108.17,108.72,1279257
2017-11-08 16:00:00,108.55,109.84,108.03,109.17,1794121
2017-11-09 16:00:00,109.03,111.86,108.93,111.84,1654624
2017-11-10 16:00:00,111.28,111.76,109.57,110.75,973441
2017-11-13 16:00:00,110.08,111.3,109.88,111.06,1275595
2017-11-14 16:00:00,112.84,112.97,111.12,112.21,1308215
2017-11-15 16:00:00,111.97,112.19,110.34,111.08,1149971
2017-11-16 16:00:00,111.31,112.95,110.98,112.24,1631906
2017-11-17 16:00:00,111.5,112.36,111.5,111.61,1043296
2017-11-20 16:00:00,112.0,112.68,111.61,112.18,939004
2017-11-21 16:00:00,112.99,114.32,112.56,113.56,1118532
2017-11-22 16:00:00,113.53,113.66,112.46,113.07,785873
2017-11-24 13:00:00,112.95,113.31,112.08,113.07,289061
