,Open,High,Low,Close,Volume
2017-10-25 16:00:00,46.4,46.88,45.52,45.99,3037776
2017-10-26 16:00:00,46.2,46.98,46.03,46.93,2528499
2017-10-27 16:00:00,46.82,47.3,46.7,47.11,2395516
2017-10-30 16:00:00,46.82,47.325,46.5521,46.8,2139479
2017-10-31 16:00:00,46.68,47.07,46.44,46.46,1446143
2017-11-01 16:00:00,46.71,47.06,46.16,46.22,1400055
2017-11-02 16:00:00,46.17,46.92,45.99,46.85,1495963
2017-11-03 16:00:00,46.77,47.125,46.37,46.81,1249319
2017-11-06 16:00:00,46.75,46.8436,46.085,46.45,1505004
2017-11-07 16:00:00,46.44,46.54,44.79,44.88,2413115
2017-11-08 16:00:00,44.72,44.92,44.1643,44.54,2940683
2017-11-09 16:00:00,44.21,44.68,43.6683,43.97,2076136
2017-11-10 16:00:00,44.1,44.42,43.83,43.93,2049035
2017-11-13 16:00:00,43.65,45.53,43.5,45.43,3651303
2017-11-14 16:00:00,45.12,47.085,45.1,46.49,4487173
2017-11-15 16:00:00,45.99,46.95,45.64,46.5,2180737
2017-11-16 16:00:00,46.72,46.99,46.055,46.11,2136337
2017-11-17 16:00:00,45.91,46.46,45.63,46.3,1291038
2017-11-20 16:00:00,46.46,47.16,46.21,47.1,2387128
2017-11-21 16:00:00,47.34,47.34,46.71,46.89,1619392
2017-11-22 16:00:00,47.05,47.05,46.35,46.35,1204246
2017-11-24 13:00:00,46.65,46.84,46.31,46.35,688600
